principal_kanonik,merek,merek_belum_dipanen,situs,status_situs,catatan
KERAMBITAN AGRO,1,1,,belum-diperiksa,
SORIK ANGKOLA SINERGI,1,1,,belum-diperiksa,
SUWARNADWIPA GREEN FERTILIZER,1,1,,belum-diperiksa,
MULIA SUKSES ABADI SENTOSA,1,1,,belum-diperiksa,
PT. ARYA SUPRA NUGRAHA,1,1,,belum-diperiksa,
EKADWI SELO UNGGUL,1,1,,belum-diperiksa,
CV. KANA MAKMUR,1,1,,belum-diperiksa,
AGROBION SEJAHTERA,1,1,,belum-diperiksa,
BUKIT RAYA,1,1,,belum-diperiksa,
SEKAWAN JAYA BESTINDO,1,1,,belum-diperiksa,
NATURAL EVERGREEN ORGANIK,1,1,,belum-diperiksa,
DINAR MULIA LESTARI,1,1,,belum-diperiksa,
PT. Amory Multi Quality,1,1,,belum-diperiksa,
PT JAVA MINING FERTILIZO,1,1,,belum-diperiksa,
TUMBUH SUBUR MAKMUR,1,1,,belum-diperiksa,
MERPORIZAD BERKAH ABADI,1,1,,belum-diperiksa,
SUBUR INDO AMERTA,1,1,,belum-diperiksa,
BENGKEL MIMPI NUSANTARA,1,1,,belum-diperiksa,
PT. SEKAWAN MAJU BERSAMA PRIMA,1,1,,belum-diperiksa,
SAKTI BERJAYA,1,1,,belum-diperiksa,
PT. Pupor Sejahtera Makmur,1,1,,belum-diperiksa,
MANDRAGUNA PUSAKA INDONESIA,1,1,,belum-diperiksa,
CV. AGRO BIO ORGANIK,1,1,,belum-diperiksa,
ANTARES MULTI ENERGI,1,1,,belum-diperiksa,
REZKY BERSAUDARA,1,1,,belum-diperiksa,
KAMPAR SYNERGI ABADI,1,1,,belum-diperiksa,
SINAR AGRI UTAMA,1,1,,belum-diperiksa,
PT. Berkah Indonesiaraya Sukses,1,1,,belum-diperiksa,
TOBA AGRO CHEMICAL,1,1,,belum-diperiksa,
AGRIVEST ALAM ASIA,1,1,,belum-diperiksa,
LAKSMANA MULIA SENTOSA,1,1,,belum-diperiksa,
PT. VIBEST SUKSES ABADI,1,1,,belum-diperiksa,
MUSTIKA TANAH NUSANTARA,1,1,,belum-diperiksa,
AJE PRATAMA GEMILANG,1,1,,belum-diperiksa,
AGROSINDO UTAMA,1,1,,belum-diperiksa,
CV. DUTA MAS PADJADJARAN,1,1,,belum-diperiksa,
RESEP MAKMUR JAYA,1,1,,belum-diperiksa,
CAHYA TANI INDONESIA,1,1,,belum-diperiksa,
PUTRA PATIKALA MAJU,1,1,,belum-diperiksa,
KARUNIA PERMATA UTAMA,1,1,,belum-diperiksa,
PETRO PUPUK KIMIA,1,1,,belum-diperiksa,
ANGSA MAS JAYA,1,1,,belum-diperiksa,
PT. MANDALA PRATAMA NUSANTARA,1,1,,belum-diperiksa,
TRUBUS SWADAYA,1,1,,belum-diperiksa,
ARFADA TIGAPUTRA BUDIWIBOWO,1,1,,belum-diperiksa,
AZKA MANDIRI,1,1,,belum-diperiksa,
ST. MANDIRI,1,1,,belum-diperiksa,
CV. SURYA INDAH MULIA,1,1,,belum-diperiksa,
CV . Berkah Tani Mandiri,1,1,,belum-diperiksa,
TRIJAVA MAJU BERSAMA,1,1,,belum-diperiksa,
BINA TANI MULIA,1,1,,belum-diperiksa,
BERKAH TANI PERKASA,1,1,,belum-diperiksa,
GOPIN TEGAR ABADI,1,1,,belum-diperiksa,
BAWANA INDO UNIVERSAL,1,1,,belum-diperiksa,
PT. Bilquis Jaya Perkasa,1,1,,belum-diperiksa,
ECONOVA PRIMA INTERNATIONAL,1,1,,belum-diperiksa,
GLORIENTA MINERAL PERKASA,1,1,,belum-diperiksa,
MARIO MARAJA,1,1,,belum-diperiksa,
AGRARIA SENTOSA NUSANTARA,1,1,,belum-diperiksa,
PT DIC Graphics,1,1,,belum-diperiksa,
ERAKARYA PUPUK LESTARI,1,1,,belum-diperiksa,
BIO DEMETER SUBUR BERKAH,1,1,,belum-diperiksa,
AMINDOWAY JAYA,1,1,,belum-diperiksa,
PT. TEKNO INOVASI ASIA,1,1,,belum-diperiksa,
MAJULAH SOLUSI PARAGON,1,1,,belum-diperiksa,
PASCAL BIOTECH INDONESIA,1,1,,belum-diperiksa,
PT. Dewi Samudra Bumi Makmur,1,1,,belum-diperiksa,
GANCARGEMILANG JAYASAKTI,1,1,,belum-diperiksa,
INOVASI JAYA ORGANIK,1,1,,belum-diperiksa,
LESAFFRE SARI NUSA,1,1,,belum-diperiksa,
PUTRA ANANDIRI,1,1,,belum-diperiksa,
MITRA AGRONIAGA NUSANTARA,1,1,,belum-diperiksa,
TION AGRO NUSANTARA,1,1,,belum-diperiksa,
ARTHA TANI UNGGUL,1,1,,belum-diperiksa,
POESRI RAYA,1,1,,belum-diperiksa,
PT. SINAR MAKMUR ORGANIK,1,1,,belum-diperiksa,
SETIA AGUNG SINERGI,1,1,,belum-diperiksa,
KIMIA KARYANUSA CARAKA,1,1,,belum-diperiksa,
PT. WAHANA MAKMUR BERSAMA,1,1,,belum-diperiksa,
PT. ENVITEC MULTI INDONESIA,1,1,,belum-diperiksa,
BERNIAGA SINERGI NUSANTARA,1,1,,belum-diperiksa,
BERDI ORGANIK INTERNASIONAL,1,1,,belum-diperiksa,
GOLDEN PLANTER INDONESIA,1,1,,belum-diperiksa,
MASARO SENTRA MAKMUR,1,1,,belum-diperiksa,
TUAH INDATU,1,1,,belum-diperiksa,
LENTERA WIJAYA,1,1,,belum-diperiksa,
PONDOK PESANTREN ASSALAFIE,1,1,,belum-diperiksa,
CENTRAL INDO PRIMA GROUP,1,1,,belum-diperiksa,
MULIA AGRO HAYATI,1,1,,belum-diperiksa,
CV. AGRO MITRA SEJAHTERA,1,1,,belum-diperiksa,
HAYATI FORTUNA INDONESIA,1,1,,belum-diperiksa,
PUPUK SUBURKAN NEGERI,1,1,,belum-diperiksa,
CV SUNDAG AGRO FERTILIZER,1,1,,belum-diperiksa,
KSM SEHAT SEJAHTERA,1,1,,belum-diperiksa,
MUTIARA MAS,1,1,,belum-diperiksa,
DWI AGRO MANUNGGAL,1,1,,belum-diperiksa,
WAHANA ORGANIK MULIAJAYA,1,1,,belum-diperiksa,
ORSINIL INDO MITRA PATEN,1,1,,belum-diperiksa,
JAVA AGRO SEMESTA,1,1,,belum-diperiksa,
BIOPOR SINERGY NUSANTARA,1,1,,belum-diperiksa,
UDKHABI BUN NAJAR,1,1,,belum-diperiksa,
KOPERASI JASA PUSLIT KELAPA SAWIT,1,1,,belum-diperiksa,
KURNIA AGRO LESTARI,1,1,,belum-diperiksa,
RASYA RIZKI PRATAMA PHD,1,1,,belum-diperiksa,
RAMIN MINERAL JAYA,1,1,,belum-diperiksa,
ACE BIO CARE,1,1,,belum-diperiksa,
SALIMAS CITRA KENCANA,1,1,,belum-diperiksa,
PT. BAHAGIA JAYA INDO,1,1,,belum-diperiksa,
PT. Sinar Deli Mandiri,1,1,,belum-diperiksa,
JAGAD SUMBER MAKMUR,1,1,,belum-diperiksa,
GERDU GENENG SIDAYU,1,1,,belum-diperiksa,
POWER NIAGA SUKSES,1,1,,belum-diperiksa,
MITRA TANI SEMESTA,1,1,,belum-diperiksa,
PT. SEMERU JAYA GEMILANG,1,1,,belum-diperiksa,
CV. Semangat Baru Agro,1,1,,belum-diperiksa,
SINAR AGRO MULTIHARA,1,1,,belum-diperiksa,
MIKHA TANINDO MAKMUR,1,1,,belum-diperiksa,
PUPUK KARYA POLOWIJO,1,1,,belum-diperiksa,
BERKAT HIJAU SUBUR MELIMPAH,1,1,,belum-diperiksa,
SANYO TRADING INDONESIA,1,1,,belum-diperiksa,
MAKMUR AGRISARANA,1,1,,belum-diperiksa,
AGRO ANDALAS JAYA,1,1,,belum-diperiksa,
PT BERKAH MANDIRI SEJATI,1,1,,belum-diperiksa,
SUBU GREEN INDONESIA,1,1,,belum-diperiksa,
CV. PERSADA MAKMUR TANI SENTOSA,1,1,,belum-diperiksa,
CV. MANDIRI PANGAN SEJAHTERA,1,1,,belum-diperiksa,
CV.TRI MULTI DAYA.,1,1,,belum-diperiksa,
PT. AGRO BIO KEMINDO,1,1,,belum-diperiksa,
PT PALMARIN AGRO INDONESIA,1,1,,belum-diperiksa,
PT. BUKIT PRIMA NIAGA,1,1,,belum-diperiksa,
PT Kertopaten Agro Sejahtera,1,1,,belum-diperiksa,
PT BIOZYM PRATAMA,1,1,,belum-diperiksa,
PT. Mega Tri Utama,1,1,,belum-diperiksa,
PT. Agro Max Asia,1,1,,belum-diperiksa,
PT BIO PLANMATE INDONESIA,1,1,,belum-diperiksa,
CV. AGRO BISNIS INDONESIA,1,1,,belum-diperiksa,
PT Ambagiri Nusantara,1,1,,belum-diperiksa,
PT. DRAGON PUPUK INDONESIA,1,1,,belum-diperiksa,
PT.Sumberaya Kendimasindo,1,1,,belum-diperiksa,
CV. Sinar Agung,1,1,,belum-diperiksa,
PT. Dwi Mitra,1,1,,belum-diperiksa,
PT. MITOKU SUKSES MAKMUR,1,1,,belum-diperiksa,
PT Lautan Luas Tbk,1,1,,belum-diperiksa,
PT. Biotrack Technology Indonesia,1,1,,belum-diperiksa,
PT PRIMA AGRO MANDIRI,1,1,,belum-diperiksa,
PT. Cahaya Inti Tunggal,1,1,,belum-diperiksa,
PT DOBEL F JAYA,1,1,,belum-diperiksa,
CV. HERBASARI,1,1,,belum-diperiksa,
CV. Tani Hijau LestariI,1,1,,belum-diperiksa,
PT.NOVELVAR,1,1,,belum-diperiksa,
CV. Rahayu,1,1,,belum-diperiksa,
PT. Kamar Maeso Harapan,1,1,,belum-diperiksa,
PT NUTRIMAS AGRO INDONESIA,1,1,,belum-diperiksa,
CV. SURYA TANI TIMUR SANTOSA,1,1,,belum-diperiksa,
UD. Primaagro,1,1,,belum-diperiksa,
Ud.sarana tani utama,1,1,,belum-diperiksa,
PT Arindo Utama Perkasa,1,1,,belum-diperiksa,
CV. Tresno Bumi Lestari,1,1,,belum-diperiksa,
CV.Sekar Sari,1,1,,belum-diperiksa,
C.V. Berkat Eya Pratama,1,1,,belum-diperiksa,
CV. Mega Organofertlizer,1,1,,belum-diperiksa,
PT. Graha Inti Jaya,1,1,,belum-diperiksa,
PT. JNS Sejahtera Bersama,1,1,,belum-diperiksa,
CV MULTIAGRO SARANA CEMERLANG,1,1,,belum-diperiksa,
CV. SASANDO,1,1,,belum-diperiksa,
PT. DAMAI AGRO MANDIRI,1,1,,belum-diperiksa,
CV. Duta Surya Alam,1,1,,belum-diperiksa,
PT. ENDRA TANI MAKMUR,1,1,,belum-diperiksa,
CV. Yoland Tani Indonesia,1,1,,belum-diperiksa,
CV. Tunggal Tri Panca,1,1,,belum-diperiksa,
CV AGRO JAYA OCTAVIANT,1,1,,belum-diperiksa,
CV SUKA AYU BIONITRAT,1,1,,belum-diperiksa,
CV. Jago Jasa,1,1,,belum-diperiksa,
PT HARVESTMORE MULTITRADE INDONESIA,1,1,,belum-diperiksa,
PT Lamandau Subur Sejahtera,1,1,,belum-diperiksa,
PT. Harvest Ariake Indonesia,1,1,,belum-diperiksa,
Koperasi Karyawan Puspa Kencana,1,1,,belum-diperiksa,
PT PUPUK NUTRIFIT INDONESIA,1,1,,belum-diperiksa,
PT. SUBUR INDAH SUKSES GEMILANG,1,1,,belum-diperiksa,
CV. Empat Serangkai,1,1,,belum-diperiksa,
PT. AGRITANI MAKMUR MANDIRI,1,1,,belum-diperiksa,
U.D Daun Mas,1,1,,belum-diperiksa,
PT Agri Maju Perkasa,1,1,,belum-diperiksa,
PT.Silva Tropika Kultura,1,1,,belum-diperiksa,
PT. PERKEBUNAN NUSANTARA XI,1,1,,belum-diperiksa,
PT.BUMI TANI INDONESIA SEJAHTERA,1,1,,belum-diperiksa,
PT Dwitama Agro Makmur,1,1,,belum-diperiksa,
PT.Surya Agung Unggul,1,1,,belum-diperiksa,
PT. UMG INDONESIA,1,1,,belum-diperiksa,
CV. CIPTO LANGGENG,1,1,,belum-diperiksa,
PT. Indevco Internusa,1,1,,belum-diperiksa,
CV MEGAH JAYA SEVENTIES,1,1,,belum-diperiksa,
PT ELKABE BIOTEK INDONESIA,1,1,,belum-diperiksa,
CV. Mutiara Agro Persada,1,1,,belum-diperiksa,
PT. Setia Bersama,1,1,,belum-diperiksa,
PT. Tiara Kurnia,1,1,,belum-diperiksa,
PT.Greenland Agrotech Industries,1,1,,belum-diperiksa,
PT CROP CHECK INDONESIA,1,1,,belum-diperiksa,
CV. Agro Lestari,1,1,,belum-diperiksa,
CV. PANTRAS AGROLESTRI,1,1,,belum-diperiksa,
CV. Blessindo Maju Bersama,1,1,,belum-diperiksa,
CV. Ruthani Mandiri,1,1,,belum-diperiksa,
KOPERASI KARYAWAN RISPA MEDAN,1,1,,belum-diperiksa,
CV. Duta Oreza Indonesia,1,1,,belum-diperiksa,
PT. AGRO PARKIM INDONESIA,1,1,,belum-diperiksa,
CV. Agro Sumber Subur,1,1,,belum-diperiksa,
PT. INDUSTRI JAMU DAN FARMASI SIDO MUNCUL,1,1,,belum-diperiksa,
CV RAJAWALI USAHA NABATI,1,1,,belum-diperiksa,
CV. TERUS JAYA PUTRA,1,1,,belum-diperiksa,
cv.nusatani,1,1,,belum-diperiksa,
CV Karsa Jaya,1,1,,belum-diperiksa,
PT. Shiraishi Calcium Indonesia,1,1,,belum-diperiksa,
CV. Citra Berlian,1,1,,belum-diperiksa,
CV. PATIH GAJAH MADA,1,1,,belum-diperiksa,
CV. CONS PRIMA SENTOSA,1,1,,belum-diperiksa,
PT. INDOBAY BIO,1,1,,belum-diperiksa,
PT. Alam Lestari Maju Indonesia,1,1,,belum-diperiksa,
CV. TUNAS HARAPAN,1,1,,belum-diperiksa,
PT .PLANETBIRU INDONESIA,1,1,,belum-diperiksa,
CV. Multi Guna,1,1,,belum-diperiksa,
CV. Fian Agro Industri,1,1,,belum-diperiksa,
PT PRIMASID ANDALAN UTAMA,1,1,,belum-diperiksa,
