principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
BATARAGENI KARYA MANDIRI,Pupuk,1,0,1,,
BAWANA INDO UNIVERSAL,Pupuk,1,0,1,,
BELERANG GUNUNG KAWAH IJEN,Pupuk,1,0,1,,
BENATA,Pupuk,1,0,1,,
BENGKEL MIMPI NUSANTARA,Pupuk,1,0,1,,
BENIH ROMAN AGRO,Pupuk,1,0,1,,
BERDI ORGANIK INTERNASIONAL,Pupuk,1,0,1,,
BERKAH ALAM GEMILANG,Pupuk,1,0,1,,
BERKAH ALAM NUSANTARA FERTILIZER,Pupuk,1,0,1,,
BERKAH AUTO SUKSES SEJAHTERA,Pupuk,1,0,1,,
BERKAH BUMI BARU,Pupuk,1,0,1,,
BERKAH FIQRI KERINCI,Pupuk,1,0,1,,
BERKAH SUKSES TEKNOLOGI,Pupuk,1,0,1,,
BERKAH TANI PERKASA,Pupuk,1,0,1,,
BERKAT HIJAU SUBUR MELIMPAH,Pupuk,1,0,1,,
BERKATINDO NUSANTARA BERSINAR,Pupuk,1,0,1,,
BERLIAN ANUGERAH JAYA,Pupuk,1,0,1,,
BERNIAGA SINERGI NUSANTARA,Pupuk,1,0,1,,
BERSAMA AGRI MAKMUR,Pupuk,1,0,1,,
BHETOCHAR ENERGI NUSANTARA,Pupuk,1,0,1,,
BIAN JAYA MAKMUR,Pupuk,1,0,1,,
BIMA JAYA FARM,Pupuk,1,0,1,,
BIN ZEIN AGRICULTURE,Pupuk,1,0,1,,
BINA TANI MULIA,Pupuk,1,0,1,,
BINA ZHINOFA INDUSTRI,Pupuk,1,0,1,,
BINANGUN GEMILANG SEMBADA,Pupuk,1,0,1,,
BINTANG WARNA,Pupuk,1,0,1,,
BIO AGRO LESTARI INDONESIA,Pupuk,1,0,1,,
BIO BATARA JAYA,Pupuk,1,0,1,,
BIO DEMETER SUBUR BERKAH,Pupuk,1,0,1,,
BIO DITA ORGANIK,Pupuk,1,0,1,,
BIO HARUN INDONESIA,Pupuk,1,0,1,,
BIO NUSA LESTARI,Pupuk,1,0,1,,
BIO POLLEN INDONESIA,Pupuk,1,0,1,,
BIO SAMURAI JAPKORI,Pupuk,1,0,1,,
BIOCARE INDONESIA LANGGENG,Pupuk,1,0,1,,
BIOCHEM INTI GLOBAL,Pupuk,1,0,1,,
BIOKLANTEK NUSANTARA,Pupuk,1,0,1,,
BIOPOR SINERGY NUSANTARA,Pupuk,1,0,1,,
BIOTEK AGRI LESTARI,Pupuk,1,0,1,,
BIOTEK AGRO NUSANTARA,Pupuk,1,0,1,,
BLANG RAYA INDO,Pupuk,1,0,1,,
BUKIT KAPUR ALAM RAYA,Pupuk,1,0,1,,
BULAN BINTANG JAYA,Pupuk,1,0,1,,
BUMI ALAM JATI,Pupuk,1,0,1,,
BUMI ASIH LELUHUR,Pupuk,1,0,1,,
BUMI LAVANAA AGRO INDUSTRI,Pupuk,1,0,1,,
BUMI MAKMUR,Pupuk,1,0,1,,
BUMI MAKMUR SEJAHTERA LAMONGAN,Pupuk,1,0,1,,
BUMI MAKMUR WIDYADHANA,Pupuk,1,0,1,,
BUMI NOTO ROGO,Pupuk,1,0,1,,
BUMI SRIWIJAYA INDONESIA,Pupuk,1,0,1,,
BUMI SUBUR UTAMA,Pupuk,1,0,1,,
BUNAYYA AGRI,Pupuk,1,0,1,,
CAHAYA AGROLEV KENCANA,Pupuk,1,0,1,,
CAHAYA BARU,Pupuk,1,0,1,,
CAHAYA BUANA ASIA,Pupuk,1,0,1,,
CAHYA TANI INDONESIA,Pupuk,1,0,1,,
CAKRA DHARMA USAHA,Pupuk,1,0,1,,
CANTIGA,Pupuk,1,0,1,,
CARIU AGRO NATURA,Pupuk,1,0,1,,
CATUR INTI PERSADA,Pupuk,1,0,1,,
CENTRAL INDO PRIMA GROUP,Pupuk,1,0,1,,
CEPOGO AGRO LESTARI,Pupuk,1,0,1,,
CIHURIP AGRO NUSA,Pupuk,1,0,1,,
CIN KOREA NUSANTARA INDONESIA,Pupuk,1,0,1,,
CIPTA ALAM MUKTI,Pupuk,1,0,1,,
CIPTA MAKMUR BERSAMA,Pupuk,1,0,1,,
CIPTA USAHA SANTOSA,Pupuk,1,0,1,,
CITRA ANUGRAH MALINOTAMA,Pupuk,1,0,1,,
CIWANGI NUTRISI TANAMAN,Pupuk,1,0,1,,
CLAREXINDO MAKMUR SEJAHTERA,Pupuk,1,0,1,,
CLEAN AND WELL PACK INDONESIA,Pupuk,1,0,1,,
COKRO JOYO MITRA TANI,Pupuk,1,0,1,,
COKRO JOYO PASTI CUAN,Pupuk,1,0,1,,
CV . Berkah Tani Mandiri,Pupuk,1,0,1,,
CV AGRO SENTOSA ABADI,Pupuk,1,0,1,,
CV ANANTA WINANGUN,Pupuk,1,0,1,,
CV BINA AGRO JAYA MAKMUR,Pupuk,1,0,1,,
CV BIO SENTRATAMA,Pupuk,1,0,1,,
CV INDO AGRO CHEMICAL,Pestisida,0,1,1,Insektisida:1,
CV JAYA FARMINDO,Pupuk,1,0,1,,
CV Karsa Jaya,Pupuk,1,0,1,,
CV MEGAH JAYA SEVENTIES,Pupuk,1,0,1,,
CV MULTIAGRO SARANA CEMERLANG,Pupuk,1,0,1,,
CV RAJAWALI USAHA NABATI,Pupuk,1,0,1,,
CV SUKA AYU BIONITRAT,Pupuk,1,0,1,,
CV SUNDAG AGRO FERTILIZER,Pupuk,1,0,1,,
CV TOYOPAMA,Pupuk,1,0,1,,
CV. AGRIJAYA,Pestisida,0,1,1,Fumigan:1,
CV. AGRO BIO ORGANIK,Pupuk,1,0,1,,
CV. AGRO BISNIS INDONESIA,Pupuk,1,0,1,,
CV. AGRO MIFTAHUL KHISBA,Pestisida,0,1,1,Fungisida:1,
CV. AGRO MITRA SEJAHTERA,Pupuk,1,0,1,,
CV. AL HADID 20,Pupuk,1,0,1,,
CV. ALAM NABATI ANACARDIUM,Pestisida,0,1,1,Fungisida:1,
CV. AMARTA BUANA SEJAHTERA,Pestisida,0,1,1,Herbisida:1,
CV. ANUGERAH BERSAMA,Pupuk,1,0,1,,
CV. AZKIA BINTANG NUSANTARA,Pestisida,0,1,1,Zat Pengatur Tumbuh Tanaman:1,
CV. Agro Lestari,Pupuk,1,0,1,,
CV. Agro Sumber Subur,Pupuk,1,0,1,,
CV. Agroxplore Indonesia,Pupuk,1,0,1,,
CV. Anugerah Prima Lestari,Pupuk,1,0,1,,
CV. Argo Pundi Lestari,Pupuk,1,0,1,,
CV. BERKAH MAKMUR NUSANTARA,Pupuk,1,0,1,,
CV. BINA AGRO PACIFIC,Pupuk,1,0,1,,
CV. BIR ALI JAYA,Pupuk,1,0,1,,
CV. BUMI LESTARI KINTAMANI,Pestisida,0,1,1,Insektisida:1,
CV. Baraya Maju Bersama,Pupuk,1,0,1,,
CV. CEMIKA OPTIMA,Pupuk,1,0,1,,
CV. CIPTO LANGGENG,Pupuk,1,0,1,,
CV. CONS PRIMA SENTOSA,Pupuk,1,0,1,,
CV. Citra Berlian,Pupuk,1,0,1,,
CV. DARMAPURI AGRO SEMESTA,Pupuk,1,0,1,,
CV. DUTA MAS PADJADJARAN,Pupuk,1,0,1,,
CV. Duta Oreza Indonesia,Pupuk,1,0,1,,
CV. Fian Agro Industri,Pupuk,1,0,1,,
CV. Flow Utama Nusantara,Pupuk,1,0,1,,
CV. GAZALA SEJAHTERA MADANI,Pupuk,1,0,1,,
CV. GRAHA FERTICON PERKASA,Pestisida,0,1,1,Zat Pengatur Tumbuh Tanaman:1,
CV. HANGSON,Pupuk,1,0,1,,
CV. HERBASARI,Pupuk,1,0,1,,
CV. HMS GLOBAL,Pupuk,1,0,1,,
CV. INDAH PRATAMA SARI,Pupuk,1,0,1,,
CV. INDAH TANI SEJAHTERA,Pestisida,0,1,1,Insektisida:1,
CV. INDO SAMADA,Pupuk,1,0,1,,
CV. INDO TANI,Pestisida,0,1,1,Herbisida:1,
CV. INDOZEZAR,Pupuk,1,0,1,,
CV. Jago Jasa,Pupuk,1,0,1,,
CV. KANA MAKMUR,Pupuk,1,0,1,,
CV. KIAT AGRO MANDIRI,Pupuk,1,0,1,,
CV. KOLEKTIF SURYA CEMERLANG,Pestisida,0,1,1,Rodentisida:1,
CV. LESTARI INTI AGRO,Pupuk,1,0,1,,
CV. LIVE ANGKASA,Pestisida,0,1,1,Zat Pengatur Tumbuh Tanaman:1,
CV. MANDIRI ANUGERAH ABADI,Pestisida,0,1,1,Bahan pengawet kayu:1,
CV. MANDIRI PANGAN SEJAHTERA,Pupuk,1,0,1,,
CV. MEISA ADELIA PRIMA PRO,Pupuk,1,0,1,,
CV. Maju Dua Sahabat,Pupuk,1,0,1,,
CV. Mandiri Massadidu,Pupuk,1,0,1,,
CV. Marson Syah,Pupuk,1,0,1,,
CV. Mega Organofertlizer,Pupuk,1,0,1,,
CV. Mino Tangguh Mandiri,Pupuk,1,0,1,,
CV. Multi Guna,Pupuk,1,0,1,,
CV. Mutiara Agro Persada,Pupuk,1,0,1,,
CV. NUSAGRI,Pestisida,0,1,1,Atraktan / Feromon:1,
CV. PANTRAS AGROLESTRI,Pupuk,1,0,1,,
CV. PATIH GAJAH MADA,Pupuk,1,0,1,,
CV. PONDANGI,Pupuk,1,0,1,,
CV. PRIMA SAKTI,Pupuk,1,0,1,,
CV. Putri Gresik,Pupuk,1,0,1,,
CV. RIAU AGROFERT,Pupuk,1,0,1,,
CV. Rahayu,Pupuk,1,0,1,,
CV. Rimba Jaya,Pupuk,1,0,1,,
CV. SAHABAT AGRI SEJATI,Pestisida,0,1,1,Herbisida:1,
CV. SAKINA AGRO INDUSTRI,Pupuk,1,0,1,,
CV. SASANDO,Pupuk,1,0,1,,
CV. SUMBER USAHA ABADI,Pupuk,1,0,1,,
CV. SURYA INDAH MULIA,Pupuk,1,0,1,,
CV. SURYA PETANI,Pupuk,1,0,1,,
CV. SURYA TANI TIMUR SANTOSA,Pupuk,1,0,1,,
CV. SURYA UTAMA NIAGA TANI,Pestisida,0,1,1,Herbisida:1,
CV. Semangat Baru Agro,Pupuk,1,0,1,,
CV. Sinar Agro Sejati,Pupuk,1,0,1,,
CV. Sinar Agung,Pupuk,1,0,1,,
CV. Subur Makmur Nusantara,Pupuk,1,0,1,,
CV. TANI ABADI,Pestisida,0,1,1,Herbisida:1,
CV. TANI ABADI BORNEO,Pestisida,0,1,1,Insektisida:1,
CV. TANI MUJUR,Pestisida,0,1,1,Herbisida:1,
CV. TERUS JAYA PUTRA,Pupuk,1,0,1,,
CV. TUNAS HARAPAN,Pupuk,1,0,1,,
CV. Tani Hijau LestariI,Pupuk,1,0,1,,
CV. Tresno Bumi Lestari,Pupuk,1,0,1,,
CV. Tunggal Tri Panca,Pupuk,1,0,1,,
CV. Wahana Putra Mandiri,Pupuk,1,0,1,,
CV. ZEO BENT INDONESIA,Pupuk,1,0,1,,
CV.BERNAS ANDALAN SEJATI,Pupuk,1,0,1,,
CV.JABAL REZKI,Pupuk,1,0,1,,
CV.KWADRAN JAYA MANDIRI,Pupuk,1,0,1,,
CV.MITRA FARM MAJU BERSAMA,Pupuk,1,0,1,,
CV.PRATAMA LESTARI,Pupuk,1,0,1,,
CV.TRI MULTI DAYA.,Pupuk,1,0,1,,
DAESANG INGREDIENTS INDONESIA,Pupuk,1,0,1,,
DAKSA YEKTI PRATAMA,Pupuk,1,0,1,,
DAMAI SINERGI NUSANTARA,Pupuk,1,0,1,,
DANGIANG SRI,Pupuk,1,0,1,,
DARMAWANGSA PUTRA,Pupuk,1,0,1,,
DASA VAYU ALAM SARI,Pupuk,1,0,1,,
DAVARI ANUGERAH SEJAHTERA,Pupuk,1,0,1,,
DAVIANDRA NIAGA NUSANTARA,Pupuk,1,0,1,,
DEDANDU UTAMA,Pupuk,1,0,1,,
DELTA ANUGRAH SUBUR SEJAHTERA,Pupuk,1,0,1,,
DEWADARU KARYAUTAMA JAYA,Pupuk,1,0,1,,
DEWI MURNI SAMPURNA,Pupuk,1,0,1,,
DHARMA PERTIWI,Pupuk,1,0,1,,
DIENG AGRO VANJAVA,Pupuk,1,0,1,,
DINAR MULIA LESTARI,Pupuk,1,0,1,,
DJUARA TANI NUSANTARA,Pupuk,1,0,1,,
DNA TECHNOLOGY INDUSTRI,Pupuk,1,0,1,,
DUA POETRA JAYA AGROLINK,Pupuk,1,0,1,,
DUA RODA AGRO TERPADU,Pupuk,1,0,1,,
DUPA WANGI FERTILINDO,Pupuk,1,0,1,,
DUTA AGRO LESTARI,Pupuk,1,0,1,,
DWI AGRO MANUNGGAL,Pupuk,1,0,1,,
EBISU GLOBALTRADING INDONESIA,Pupuk,1,0,1,,
ECONOVA PRIMA INTERNATIONAL,Pupuk,1,0,1,,
EKADWI SELO UNGGUL,Pupuk,1,0,1,,
EKOTANI SINAR ANUGERAH,Pupuk,1,0,1,,
EMINEN GLOBALINDO RAYA,Pupuk,1,0,1,,
EMIRA AGRITANI,Pupuk,1,0,1,,
EMJ AGRO NUSANTARA,Pupuk,1,0,1,,
ENERGI AGRO NUSANTARA,Pupuk,1,0,1,,
ENNO CORPORATION,Pupuk,1,0,1,,
ERAKARYA PUPUK LESTARI,Pupuk,1,0,1,,
ESA ILHAM PERSADA,Pupuk,1,0,1,,
ETHAN GROUP,Pupuk,1,0,1,,
EVA SUKSES MAKMUR,Pupuk,1,0,1,,
FAJAR RIZQY TANI,Pupuk,1,0,1,,
FAN JAYA MANUNGGAL,Pupuk,1,0,1,,
FERTILE ECOGREEN INDONESIA,Pupuk,1,0,1,,
FIDEC CIRCLE INDONESIA,Pupuk,1,0,1,,
FITRIINDO LITE,Pupuk,1,0,1,,
GAHENDRA ABADI JAYA,Pupuk,1,0,1,,
GALIH JATI,Pupuk,1,0,1,,
GANCARGEMILANG JAYASAKTI,Pupuk,1,0,1,,
GAPOKTAN SUKA MAKMUR,Pupuk,1,0,1,,
GEMA FAJAR NUSANTARA,Pupuk,1,0,1,,
GEMILANG AGRO AGRAMIN,Pupuk,1,0,1,,
GEMILANG BERKAH USAHA,Pupuk,1,0,1,,
GERDU GENENG SIDAYU,Pupuk,1,0,1,,
GEUSAN WIRA PERKASA,Pupuk,1,0,1,,
GHM FARM TECH,Pupuk,1,0,1,,
GLOBAL ALAM PERKASA GRUP,Pupuk,1,0,1,,
GLOBAL NUTRI AGRINUSA,Pupuk,1,0,1,,
GLORIENTA MINERAL PERKASA,Pupuk,1,0,1,,
GOLDEN PLANTER INDONESIA,Pupuk,1,0,1,,
GOPIN TEGAR ABADI,Pupuk,1,0,1,,
GREEN PHOSKA SEJAHTERA,Pupuk,1,0,1,,
GRESIK GOLD BLESSING,Pupuk,1,0,1,,
GROWING PLANTS INTERNASIONAL,Pupuk,1,0,1,,
GUNUNG MAS MAHRAJA GURAH,Pupuk,1,0,1,,
HAFISA ANUGERAH MAKMUR,Pupuk,1,0,1,,
HARI AGRO HAYATI,Pupuk,1,0,1,,
HARMONI INCORPORATION,Pupuk,1,0,1,,
HARVANITA AGRO NUSA,Pupuk,1,0,1,,
HARVEST BERKAH ABADI,Pupuk,1,0,1,,
HAYATI FORTUNA INDONESIA,Pupuk,1,0,1,,
HAYATI MAKMUR INDONESIA,Pupuk,1,0,1,,
HAYATI MAKMUR NUSANTARA,Pupuk,1,0,1,,
HERDANIC AFDA DIHESA,Pupuk,1,0,1,,
HERKREASI,Pupuk,1,0,1,,
HIDAYAH AGRO MULYA,Pupuk,1,0,1,,
HIDAYAT BINTANG ASIA,Pupuk,1,0,1,,
HIDUP TUMBUH BERJAYA,Pupuk,1,0,1,,
HUMACARE INDONESIA ABADI,Pupuk,1,0,1,,
HUMUS AGRO LESTARI,Pupuk,1,0,1,,
IJO,Pupuk,1,0,1,,
IJO INOVASI INDONESIA,Pupuk,1,0,1,,
IKASHI SABDA AGUNG,Pupuk,1,0,1,,
INAMAS ANUGERAH SEMESTA,Pupuk,1,0,1,,
INDO FERT CORP,Pupuk,1,0,1,,
INDOHAYATI AGRO SEJAHTERA,Pupuk,1,0,1,,
INFINITI SUMBER ALAM,Pupuk,1,0,1,,
INOVASI ANAK INDONESIA,Pupuk,1,0,1,,
INOVASI JAYA ORGANIK,Pupuk,1,0,1,,
INOVASI NAGA LAUT BIRU,Pupuk,1,0,1,,
INOVASI TANI ALHIDAYAH GORONTALO,Pupuk,1,0,1,,
INSAN LESTARI,Pupuk,1,0,1,,
INSAN TANI MANDIRI,Pupuk,1,0,1,,
INTI MINERAL INDUSTRI,Pupuk,1,0,1,,
IRSYAM BINA FLORA,Pupuk,1,0,1,,
J.J TIGA PUTRI AGRICA,Pupuk,1,0,1,,
JAGAD SUMBER MAKMUR,Pupuk,1,0,1,,
JAL SANI,Pupuk,1,0,1,,
JANTHO MAJU TANI,Pupuk,1,0,1,,
JASA TANI SUBUR,Pupuk,1,0,1,,
JASARESI MANDIRI,Pupuk,1,0,1,,
JAVA AGRO SEMESTA,Pupuk,1,0,1,,
JAVANICA AGROSCIENCE INDONESIA,Pupuk,1,0,1,,
JAYA ABADI JAYA,Pupuk,1,0,1,,
JAYA PERKASA,Pupuk,1,0,1,,
JEMBATAN MERAH INDAH,Pupuk,1,0,1,,
JENGGONG MULYA JAYA SENTOSA,Pupuk,1,0,1,,
KAMPAR SYNERGI ABADI,Pupuk,1,0,1,,
KARUNIA AGRI UTAMA,Pupuk,1,0,1,,
KARWALIP ROCHIS INDONESIA,Pupuk,1,0,1,,
KARYA BIRU INOVASI,Pupuk,1,0,1,,
KARYA KOMPOS ORGANIK,Pupuk,1,0,1,,
KARYA MANUNGGAL JAYA,Pupuk,1,0,1,,
KAYA ALAM INDUSTRI,Pupuk,1,0,1,,
KELAPA NUSANTARA GROP,Pupuk,1,0,1,,
KELOMPOK USAHA BERSAMA SIDO TENTREM,Pupuk,1,0,1,,
KEMINDO INTERNATIONAL,Pupuk,1,0,1,,
KENCANA BHUMI SELARAS,Pupuk,1,0,1,,
KERAMBITAN AGRO,Pupuk,1,0,1,,
KIMIA KARYANUSA CARAKA,Pupuk,1,0,1,,
KITA TUMBUH SUBUR,Pupuk,1,0,1,,
KOPERASI JASA PUSLIT KELAPA SAWIT,Pupuk,1,0,1,,
KOPERASI KARYAWAN RISPA MEDAN,Pupuk,1,0,1,,
KOPERASI KONSUMEN KSM SEHAT SEJAHTERA,Pupuk,1,0,1,,
KOPERASI PRODUSEN BRAHMAN SEJAHTERA SUBANG,Pupuk,1,0,1,,
KOPERASI PRODUSEN KARYA NUGRAHA JAYA KUNINGAN,Pupuk,1,0,1,,
KRT GREEN INDONESIA,Pupuk,1,0,1,,
KSM SEHAT SEJAHTERA,Pupuk,1,0,1,,
KUDJANG PUTRA PRATAMA,Pupuk,1,0,1,,
KUMISIK BERKAH SEJAHTERA,Pupuk,1,0,1,,
KUR AGRO LESTARI,Pupuk,1,0,1,,
KURNIA AGRO LESTARI,Pupuk,1,0,1,,
LAHAN MAS MEKAR,Pupuk,1,0,1,,
LAKSMANA MULIA SENTOSA,Pupuk,1,0,1,,
LAMPOH LADA,Pupuk,1,0,1,,
LAWOY BUMI ANUGERAH,Pupuk,1,0,1,,
LEGASI ALAM INDONESIA,Pupuk,1,0,1,,
LEMBAH NUSA ALAM,Pupuk,1,0,1,,
LENTERA KENCANA ABADI,Pupuk,1,0,1,,
LENTERA WIJAYA,Pupuk,1,0,1,,
LESAFFRE SARI NUSA,Pupuk,1,0,1,,
LIBO FARMING,Pupuk,1,0,1,,
LIM KOEI HOCK/UD SALIM JAYA,Pupuk,1,0,1,,
LOBO KRIS UNIKKA,Pupuk,1,0,1,,
LUAS ARUNG SEJAHTERA,Pupuk,1,0,1,,
MADA PUTRA NUSANTARA,Pupuk,1,0,1,,
MADUBARU,Pupuk,1,0,1,,
MAHA DWIPA NUSANTARA,Pupuk,1,0,1,,
MAHAJAYA MULTI SINERGI,Pupuk,1,0,1,,
MAHAMERU ASTANA SRIYA,Pupuk,1,0,1,,
MAHKOTA JAYA RAYA,Pupuk,1,0,1,,
MAJJAMA AGRO INDUSTRI,Pupuk,1,0,1,,
MAJU JAYA,Pupuk,1,0,1,,
MAJULAH SOLUSI PARAGON,Pupuk,1,0,1,,
MAKASSAR AGRO MANDIRI,Pupuk,1,0,1,,
MAKMUR AGRISARANA,Pupuk,1,0,1,,
MAKMUR BUMI ABADI,Pupuk,1,0,1,,
MANDALA AGRO MAKMUR,Pupuk,1,0,1,,
MANDIRI CEMERLANG ABADI,Pupuk,1,0,1,,
MANDIRI SAPROTAN JAYA,Pupuk,1,0,1,,
MANDRAGUNA PUSAKA INDONESIA,Pupuk,1,0,1,,
MARCO JAYA SEJAHTERA,Pupuk,1,0,1,,
MARGO UTOMO MULYO,Pupuk,1,0,1,,
MARIO MARAJA,Pupuk,1,0,1,,
MAS LESTARI INDONESIA,Pupuk,1,0,1,,
MASARO SENTRA MAKMUR,Pupuk,1,0,1,,
MATAHARI AGRI BERSAMA,Pupuk,1,0,1,,
MAULANA WIJAYA MANDIRI,Pupuk,1,0,1,,
MAYANGKARA INDO TANAM,Pupuk,1,0,1,,
MEGA KARYA GRESIK,Pupuk,1,0,1,,
MEGA KIMIA INDUSTRI,Pupuk,1,0,1,,
MEGAN GALUS KINANTAN,Pestisida,0,1,1,Insektisida:1,
MEKAR SARI JAYA,Pupuk,1,0,1,,
MEKAR TANI SUKSES,Pupuk,1,0,1,,
MENARA AGRO PRIMA,Pupuk,1,0,1,,
MESS JAYA INDONESIA,Pupuk,1,0,1,,
MIKHA TANINDO MAKMUR,Pupuk,1,0,1,,
MINARET CROWN ENERGY INTERNATIONAL,Pupuk,1,0,1,,
MINERAL JAYA ALAM NUSANTARA,Pupuk,1,0,1,,
MINERINDO TRIFABUANA,Pupuk,1,0,1,,
MITRA AGRONIAGA NUSANTARA,Pupuk,1,0,1,,
MITRA SABDA,Pupuk,1,0,1,,
MITRA TANI MAKMUR,Pupuk,1,0,1,,
MITRA TANI SEMESTA,Pupuk,1,0,1,,
MITRA TANINDO,Pupuk,1,0,1,,
MITRA TEMASEK NUSANTARA,Pupuk,1,0,1,,
MITRA TERBAIK NUSANTARA,Pupuk,1,0,1,,
MONTREAL JAYA INDO,Pupuk,1,0,1,,
MORAWA ORGANIK,Pupuk,1,0,1,,
MOZAIKS JAYA MAKMUR,Pupuk,1,0,1,,
MPS ORGANIK SUPER,Pupuk,1,0,1,,
MTW LAM BLANG,Pupuk,1,0,1,,
MUKTI GRAHA PERKASA,Pupuk,1,0,1,,
MULIA AGRO HAYATI,Pupuk,1,0,1,,
MULIA AGRO SEJAHTERA,Pupuk,1,0,1,,
MULIA REZEKI ABADI,Pupuk,1,0,1,,
MULIA SUKSES ABADI SENTOSA,Pupuk,1,0,1,,
MUNCUL BERKAH TANI,Pupuk,1,0,1,,
MUSTIKA TANAH NUSANTARA,Pupuk,1,0,1,,
MUTIARA BENIH NUSANTARA,Pupuk,1,0,1,,
MUTIARA MAS,Pupuk,1,0,1,,
MUTIARA TIMUR GRESIK,Pupuk,1,0,1,,
MUTIARA ZIOSOVIQ,Pupuk,1,0,1,,
MUTU AGROBIOCHEM NUSANTARA,Pupuk,1,0,1,,
NAGAMAS ARIF SEJATI,Pupuk,1,0,1,,
NATURAL EVERGREEN ORGANIK,Pupuk,1,0,1,,
NAVATI GEMILANG MANDIRI,Pupuk,1,0,1,,
NAWASENA UNGGUL SANTOSA,Pupuk,1,0,1,,
NAZRAH AGRO MANDIRI,Pupuk,1,0,1,,
NETA AGRINDO SANTOSA,Pupuk,1,0,1,,
NIAGA BERKAH ANUGRAH,Pupuk,1,0,1,,
NIAGA RAYA,Pupuk,1,0,1,,
NIRANKARA MAKMUR AGRO,Pupuk,1,0,1,,
NOGYO ALAM SWASTIKA,Pupuk,1,0,1,,
NS CROPS ORGANIC,Pupuk,1,0,1,,
NUSANTARA AGRO HAYATI,Pupuk,1,0,1,,
NUSANTARA TETAP JAYA,Pupuk,1,0,1,,
NUTRISI INDONESIA RAYA,Pupuk,1,0,1,,
NUVALA MAKMUR SEJAHTERA,Pupuk,1,0,1,,
OMTEC PRIMA MANDIRI,Pupuk,1,0,1,,
OMYA DISTRIBUTION INDONESIA,Pupuk,1,0,1,,
ORGANIK KARYA INDONESIA,Pupuk,1,0,1,,
ORSINIL INDO MITRA PATEN,Pupuk,1,0,1,,
PABRIK GULA RAJAWALI I,Pupuk,1,0,1,,
PABRIK GULA RAJAWALI II,Pupuk,1,0,1,,
PADI DAMAI BALI,Pupuk,1,0,1,,
PALAPA GRESIK,Pupuk,1,0,1,,
PANCA MULYA TANIMAS LESTARI,Pupuk,1,0,1,,
PANCARAN DARMA FARMINDO,Pupuk,1,0,1,,
PANEN INTI NUSANTARA,Pupuk,1,0,1,,
PANGAN INDO MAJU ABADI,Pupuk,1,0,1,,
PASAROA KREASI ANAK NEGERI,Pupuk,1,0,1,,
PASCAL BIOTECH INDONESIA,Pupuk,1,0,1,,
PATAQU USAHA EXELEN,Pupuk,1,0,1,,
PEKEBUN SWADAYA KELAPA SAWIT LABUHANBATU,Pupuk,1,0,1,,
PELITA SAWIT NUSANTARA,Pupuk,1,0,1,,
PELITA SUSUN BENTANG ORGANIK,Pupuk,1,0,1,,
PERDANA AGRO PERSADA,Pupuk,1,0,1,,
PERFEKTA LINTAS SEMESTA,Pupuk,1,0,1,,
PERSADA HIJAU,Pupuk,1,0,1,,
PESONA HERBAL INDONESIA,Pupuk,1,0,1,,
PESONA PETANI NUSANTARA,Pupuk,1,0,1,,
PETERNAKAN MAJU BERSAMA,Pupuk,1,0,1,,
PETRO BUMI HIJAU,Pupuk,1,0,1,,
PETRO BUMI HIJAU GRESIK,Pupuk,1,0,1,,
PETRO PUPUK KIMIA,Pupuk,1,0,1,,
PETROKIMIA GRESIK INDONESIA,Pupuk,1,0,1,,
PETROTECH INDO ENGINEERING,Pupuk,1,0,1,,
PLANET CHEMICALS,Pupuk,1,0,1,,
POESRI RAYA,Pupuk,1,0,1,,
POLARIS ORBIT INDONESIA,Pupuk,1,0,1,,
PONDOK PESANTREN ASSALAFIE,Pupuk,1,0,1,,
POSCO INTERNATIONAL INDONESIA,Pupuk,1,0,1,,
POWER NIAGA SUKSES,Pupuk,1,0,1,,
PRATAMA BUANA RAYA,Pupuk,1,0,1,,
PRIMA PANCA AGRO,Pupuk,1,0,1,,
PRINALTIA JUNTA PERKASA,Pupuk,1,0,1,,
PRODUKSI TERNAK MAJU SEJAHTERA,Pupuk,1,0,1,,
PT Agri Timur Mas,Pupuk,1,0,1,,
PT Ambagiri Nusantara,Pupuk,1,0,1,,
PT Arindo Utama Perkasa,Pupuk,1,0,1,,
PT BANDUNG ECO SINERGI TEKNOLOGI,Pupuk,1,0,1,,
PT BERKAH MANDIRI SEJATI,Pupuk,1,0,1,,
PT BIO PLANMATE INDONESIA,Pupuk,1,0,1,,
PT BIOZYM PRATAMA,Pupuk,1,0,1,,
PT Biodiversitas Bioteknologi Indonesia,Pupuk,1,0,1,,
PT CENTRANUSA INTI PRIMA INDUSTRY,Pupuk,1,0,1,,
PT CROP CHECK INDONESIA,Pupuk,1,0,1,,
PT Cipta Ulang Sumberdaya Indonesia,Pupuk,1,0,1,,
PT DIANATA ADIKARYA SENTOSA,Pupuk,1,0,1,,
PT DOBEL F JAYA,Pupuk,1,0,1,,
PT DYNAPHARM NUSANTARA GEMILANG,Pupuk,1,0,1,,
PT Dwitama Agro Makmur,Pupuk,1,0,1,,
PT ELKABE BIOTEK INDONESIA,Pupuk,1,0,1,,
PT FIRDAUS BERJAYA INDAH,Pupuk,1,0,1,,
PT GLOBAL GROWTH,Pupuk,1,0,1,,
PT HIJAU BUMI INDONESIA,Pupuk,1,0,1,,
