merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
Mikro Max Mikro fertilizer,01.03.2026.119,DANA INDO AGRI,Pupuk Hara Mikro Majemuk,Tepung (Powder),Pendaftaran Baru,2026-02-06,2031-02-06,0,04816cc8-0a60-4e94-8659-57d8b2861fdf,8ad271b4-99ef-4b97-a689-2ae9e803e1e1
SiNutriHS,01.01.2025.920,NUSA PALAPA GEMILANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-11-11,2030-11-11,0,04845c88-9731-48ac-bd65-05157680b56d,410b43f6-6853-4a96-aae8-150df846a16e
PRONIK,02.03.2020.386,PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2020-11-05,2025-11-05,0,04923621-ead7-41dc-8f14-aa29e16b4371,1bb35d23-52dd-4a95-a3c2-c4b85bd0071d
BIODAMA PRO,04.03.2026.320,ARINDAMA NAWASENA AMERTA,Organik,Tepung (Powder),Pendaftaran Baru,2026-07-13,2031-07-13,0,04a00a2e-9e0a-4d5f-b7a5-4535b9e2df89,32edfd6c-636c-43ef-83e2-d43cc0b2c66d
POTENSIDA,03.03.2023.352,PETROSIDA GRESIK,Hayati Majemuk,Tepung (Powder),Pendaftaran Ulang Genap,2023-01-17,2028-01-17,0,04b603b3-f175-4bc0-a1aa-7277b34d02a4,34351c87-ca0f-4674-a8ea-71289155b047
AGRESIF,01.01.2022.1534,PT. Pakar Pupuk Nusantara,,Butiran (Granular),Pendaftaran Baru,2022-10-20,2027-10-20,0,04c776f8-d9c4-4dda-a685-0e47502b1008,fd644349-0fcf-4cf6-9a31-b4bb3e4d36e5
CHA-CHOL DOSKA,01.01.2025.990,KARYA TANI INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2025-06-11,2030-06-11,0,04caa14a-2dc2-437c-95bc-085efdcfba93,6fd714b4-8bf2-4ea8-a985-a84c454ba381
Powercall,04.03.2023.1077,DHARMA AYU TANI,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-11-07,2028-11-07,0,04cdc3de-1574-47fe-8fa2-6fdd0ec37feb,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
SAFA,03.01.2025.472,SAFA AGROTEK INDONESIA,Hayati Tunggal,Butiran (Granular),Pendaftaran Baru,2025-09-25,2030-09-25,0,04f3d9b3-a274-4105-8e7b-729b0e088f8c,88a64e70-d2f5-4738-9ccd-151a0b968e40
AFIAT,01.01.2026.195,PT. AGRO AFIAT NUSANTARA,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2026-03-10,2031-03-10,0,04f551e6-f49b-43f8-8449-bdff4d3d2f04,2c95cb99-38d2-4d5a-ba97-2e8b79e7ee9a
TIARADIKA,03.02.2024.570,GREEN AGRI INDONESIA,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Genap,2024-10-23,2029-10-23,0,050b914b-80c2-40c0-9c0e-aa44d9e81daa,24e94ae1-9eff-45e2-9e0b-a11404d18a8b
OSP-36,01.01.2020.595,CV. Karya Tani Indonesia,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Ulang Ganjil,2020-07-06,2025-07-06,0,051af91d-73e5-4dad-b62c-a35cc93d568b,a2b5d799-fcf7-4be5-bcf9-214fd2eb2d66
INDO PHOSKA 15-15-15,04.01.2025.210,SUMBER AGUNG JAYA,Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-05-22,2030-05-22,0,05281e28-0c98-49cb-a3ba-f3bfcb6ee299,0ad772bb-1d28-40cf-bbc4-5b92e21110d1
BELKO,01.02.2023.2216,BIOTIS AGRINDO,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2023-09-27,2028-09-27,2,0536b5d2-9629-48f2-adbe-45c6356164c3,eb662a37-d9e8-413f-b507-8ab3b7cf9e16
Qiuvita ,01.08.2023.2420,PT. KARISMA INDOAGRO UNIVERSAL,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Ulang Genap,2023-11-23,2028-11-23,0,0536c778-c1e1-4ebf-8674-44d15bc90b18,2ec93ac4-1cdf-4511-a8c0-53f5c7c9cef8
MariVit,01.02.2023.1521,RUINS SARANA TANI,,Cair (Liquid),Pendaftaran Baru,2023-07-21,2028-07-21,0,053a184f-9d04-4083-94c0-24afe142624a,74b1922a-7925-4193-a2c2-2859061d7150
BOOSTER HARA,04.01.2025.328,AGRICULTURE CONSTRUCTION,Senyawa Humat,Butiran (Granular),Pendaftaran Baru,2025-07-16,2030-07-16,0,05461896-7768-4583-9e05-01129044dd87,e8efb70f-8682-417f-923c-908e20d83f34
MEKARINDO,04.03.2025.307,CIPTA MAKMUR PERTIWI,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2025-07-10,2030-07-10,0,0554b294-2281-4325-bcd5-1395e37241c9,3f95834b-f146-496b-b46a-f6bf85ce6e69
Petrokimia Gresik,03.02.2023.873,PETROKIMIA GRESIK,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-05-22,2028-05-22,0,0557654c-d396-4b0e-851c-17295194d0d1,3c5752ce-3f32-4537-8e7a-beb109499f5a
ZSP-36,04.01.2022.1088,SAPROTAN UTAMA NUSANTARA,Zeolit,Butiran (Granular),Pendaftaran Baru,2022-10-14,2027-10-14,0,05628766-2986-40c5-8002-240617953806,0cf0a976-2d6c-476b-8ca0-f35b4ab71564
JERANTI,01.04.2020.630,PUPUK KUJANG,Pupuk Hara Makro Majemuk,Tablet,Pendaftaran Ulang Ganjil,2020-08-24,2025-08-24,0,0563f1ff-aa3e-4ffe-b323-3ddedb031ec9,1a377f72-93aa-4c27-bee7-b414b234e1a0
CIPMAPE CIPMATOP,01.01.2023.1312,CIPTA MAKMUR PERTIWI,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2023-05-02,2028-05-02,0,05661f9c-269d-4f9b-80c1-05cb087cb5ff,3f95834b-f146-496b-b46a-f6bf85ce6e69
TAMBORA,04.03.2025.165,BUMI MAKMUR WIDYADHANA,Dolomit,Tepung (Powder),Pendaftaran Baru,2025-03-24,2030-03-24,0,05770c1f-ac5b-4ee1-8bc5-8d092a160c53,a784fb52-c599-4abc-9923-0210f09a9019
FERTIS,01.01.2025.245,AGRO INSANI SEMESTA,,Butiran (Granular),Pendaftaran Baru,2025-02-26,2030-02-26,1,057e3db6-cfc4-412b-9dde-ef3063f6f68b,f3bb847e-e3c4-476e-95f5-9a4a96aea57f
BASFOLIAR,01.03.2021.952,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-11-16,2026-11-16,1,05a87c3b-9dfc-4717-9c3a-e11c82b3341b,3d48529b-97aa-48d6-b6ad-cbfa089183bc
MIOJI,03.02.2026.82,AGRITAMA TUMBUH PERKASA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2026-02-04,2031-02-04,0,05bcb5c0-30bd-4a6f-a58b-e5e02ea50e73,b4d6b686-3a9d-413b-98de-11f5e7816b70
LOONGZOU,01.03.2025.537,SASCO INDONESIA,Pupuk Kalium Klorida (KCl),Tepung (Powder),Pendaftaran Baru,2025-06-15,2030-06-15,0,05c3f127-c3df-42bf-aa78-b23fa7b4f5a2,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
Bensil Plus,01.02.2026.136,BENE PYTO TANI JAYA,Pupuk Hara Makro Tunggal dan Hara Benefisial Silika,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-02-06,2031-02-06,0,05c55c32-d12c-4f71-a6e4-7dd8dc42c36b,93498de9-e93c-430c-8bb2-6e8ff55a7933
SIDANIK,02.01.2023.596,PETROSIDA GRESIK,Pupuk Organik,Butiran (Granular),Pendaftaran Ulang Ganjil,2023-03-27,2028-03-27,0,05c673a5-c0e6-4202-93a8-9f328ea79989,34351c87-ca0f-4674-a8ea-71289155b047
MerokeCALNIT,01.01.2022.1423,MEROKE TETAP JAYA,Pupuk Kalsium Nitrat {CaNO3)2.2H2O},Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-22,2027-09-22,2,05cf7c39-dd57-4d59-9a0c-6e7cdfca3c14,a5a2f54e-db06-45ca-acd3-bf7db4701956
ROOTONE F,02.02.2023.1028,KRISTALINDO KARUNIA INTERNASIONAL,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2023-08-25,2028-08-25,0,05d31b80-6d98-4526-a6b6-b9de12caad71,b89d74a9-2a30-4e97-8bc6-436af649095f
KANCIL EMAS,01.01.2021.945,PT. SANLEX MALINDO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-11-14,2026-11-14,0,05d5f36a-99f6-4fe4-9b5f-0f0aa5c682d2,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
SOLUTUS,01.03.2022.601,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Baru,2022-03-09,2027-03-09,0,05d98281-840d-4d87-b673-271639b0ec23,3d48529b-97aa-48d6-b6ad-cbfa089183bc
GREENER,01.02.2024.340,PT. Tani Karya Makmur Sejahtera,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2024-04-01,2029-04-01,0,05e73a7c-92f1-436b-9c28-270425f0d9e9,bbba56cc-d758-4bc5-9737-1302641d3ff6
HOSA.R,01.03.2025.764,RATAMA ELON PERKASA,"Pupuk Hara Makro Majemuk
",Tepung (Powder),Pendaftaran Baru,2025-08-26,2030-08-26,0,05f01d59-a54f-464c-8bac-415a22dcd557,bbd88169-5d1f-4c0e-ba01-d20803aa0b48
BINTANG TANI,01.01.2022.1479,PUPUT TANI MANDIRI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-10-10,2027-10-10,0,05f1ffd6-bd86-4d01-a294-964f06f9fc3b,912fad15-eef9-4303-9ad3-5336e0fd468b
TIARA,01.02.2025.53,PETROSIDA GRESIK,,Cair (Liquid),Pendaftaran Baru,2024-12-31,2029-12-31,0,05f2ad66-0388-4f38-a6b4-b816c038fa4f,34351c87-ca0f-4674-a8ea-71289155b047
GDM,03.01.2022.384,GRAHA SIRTU,Hayati Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-03-28,2027-03-28,0,05f85bee-c71c-49e3-bf9a-8ae9942a8286,bc354cf2-4ab6-46d5-9668-272d3df4f895
KEBOMAS,01.01.2025.368,PETROKIMIA GRESIK,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Ulang Ganjil,2025-04-17,2030-04-17,0,05fe6cc6-1aea-4545-82a2-1c8e10dc87d3,3c5752ce-3f32-4537-8e7a-beb109499f5a
TSAMAR 32,01.02.2022.1375,BERKAT MANNA MAJU,,Cair (Liquid),Pendaftaran Baru,2022-09-19,2027-09-19,2,0604d2fa-b548-4488-a97d-284a9e49ce6f,b2825666-2970-4d38-ae25-e1c41ac7b8ee
PUTISIA,03.02.2025.17,HIDUP TUMBUH BERJAYA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-12-20,2029-12-20,0,06067a75-081b-4d3d-a3f8-51bba4836a61,8a31b883-2cf3-4de3-8d50-8b40a4acdbda
KOMPOS TRICO 21,02.03.2025.84,ULIE HOPE SO,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2025-02-05,2030-02-05,0,060f784b-c75e-483b-9509-14331e911633,275a0bb0-242e-4aaa-bd5d-1bbc8d90e86c
NAGAMERAH,01.08.2024.83,TAZAR GUNA MANDIRI,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Baru,2024-01-15,2029-01-15,0,06143cb7-a178-4721-bdc6-a5308b4d1f72,5176bc96-9f72-4334-927d-154db036ea67
CAP DAUN,01.03.2023.2365,AGRO TRADISI,Pupuk Amonium Klorida (NH4Cl),Tepung (Powder),Pendaftaran Ulang Ganjil,2023-11-27,2028-11-27,0,061dfb29-157e-4b26-9d3f-9bee4cd59fbc,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
KALSIKA,01.03.2024.111,PRIMA AGRO TECH,,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-01-15,2029-01-15,1,06227b41-64de-4d8c-89c4-e78d19b941e0,1497478e-87df-4363-8da9-1acf60d7f56f
PELANGI JOS,01.01.2021.775,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-07-07,2026-07-07,0,06227e45-c70b-4302-8d88-5560b7d4be5e,54463581-e74e-4653-9fbb-895ff5dd989b
AGRITAMA,01.01.2023.2235,MULTI NIAGA NUSANTARA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-10-25,2028-10-25,0,0628d882-3085-49b5-bc91-09279f46cf88,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
AGRI PALM,01.03.2026.457,AGRI TANIMAS SELARAS,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Baru,2026-06-09,2031-06-09,0,062c346f-7673-4f10-a7f1-30741f1ff60a,e031df17-742c-4663-be7f-8fb34a6b30ea
VIORY GIERMAN,01.01.2021.701,PT.MANDIRI DASAR UTAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-05-19,2026-05-19,0,06366856-df6b-4451-8971-f4488c9969e6,3e91c7af-394f-4f39-a508-f5743051b9fc
PUMAX,01.01.2025.293,AGROMAX MAKMUR SEKAWAN,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Baru,2025-03-05,2030-03-05,0,063878c9-3667-4b8f-a263-2c3be1a6f55b,ca56c980-646e-441c-86cd-aa3dfbe7db7e
PULLET,01.01.2022.680,POLOWIJO GOSARI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-03-29,2027-03-29,0,066dd922-bcf3-42b2-9697-50b4be1aa842,a2f15a6c-10a0-4312-90e4-fc3075df8621
LOONGZOU,01.08.2024.410,SASCO INDONESIA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Baru,2024-05-07,2029-05-07,0,067191a3-e08e-4f21-9739-e809472d59e5,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
BASFOLIAR,01.03.2021.954,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-11-16,2026-11-16,2,06728b86-cf53-46fa-be4d-aff9f73f0644,3d48529b-97aa-48d6-b6ad-cbfa089183bc
SEMOK,04.02.2023.1191,GEMA TANI ETAM,Senyawa Humat,Cair (Liquid),Pendaftaran Baru,2023-08-15,2028-08-15,0,06796a88-0006-489d-92f0-c29a0fe73dc3,335d659a-24bd-4763-aba9-ef05ef73bfaf
ZINATRA,01.02.2021.757,BINA GUNA KIMIA,Pupuk Hara Mikro Tunggal,Cair (Liquid),Pendaftaran Baru,2021-06-21,2026-06-21,0,069edb64-122a-4c6f-9d40-8e55a3937228,cf5d0e16-c3e9-42fc-99d0-fbe9efe2f9ef
MerokeKALINITRA,01.08.2023.798,MEROKE TETAP JAYA,,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2023-03-02,2028-03-02,5,06a0a75d-b2ca-4a83-9ec8-c55e97c7400c,a5a2f54e-db06-45ca-acd3-bf7db4701956
SPEEDGRO ,01.03.2021.692,MAJU MAKMUR UTOMO,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-05-16,2026-05-16,1,06af0220-4aec-4ec9-8b4e-4554cef3d327,8ecd40c8-d272-453f-9337-1958de3d86f7
TRICOSTAR,03.08.2025.253,TAPAL KOEDA INDONESIA,Hayati Tunggal,Bentuk Lainnya,Pendaftaran Baru,2025-06-05,2030-06-05,0,06ce285b-e48f-40f7-b92b-8832d43c20d4,b6102e33-7ddf-4b73-b429-9946f1b70ca8
AgroGain,01.02.2024.1268,SEA SIX ENERGY INDONESIA,,Cair (Liquid),Pendaftaran Baru,2024-12-04,2029-12-04,0,06ea6297-c193-4415-acc2-f071b31a9e19,23d92ab0-9cae-4770-bfea-6661fab6cd28
BIO 7,03.02.2026.156,BIOTEK AGRO NUSANTARA,Pupuk Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2026-04-02,2031-04-02,0,06ecf020-1b02-4e2a-aac1-73dcaabff254,7adee0a3-5265-4a66-abda-e570fdaa1495
PROMAX,03.02.2024.577,PATIH GAJAHMADA,Hayati Tunggal,Cair (Liquid),Pendaftaran Ulang Genap,2024-11-04,2029-11-04,0,06fb2b19-1d3a-4170-965e-dadaa3e84652,fdbdbdb4-974f-4ac0-a853-dc4ac6bb4727
ENEPHKA,01.01.2024.567,RAJA ARTHA AGRO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-05-20,2029-05-20,0,07039874-03c4-4f18-92b1-0005714e149f,6d965669-74e1-48d9-8a7b-45324223abf6
MULTIPRO,01.02.2024.1237,CATUR AGRODAYA MANDIRI,,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-11-04,2029-11-04,0,0705495a-a9ce-486e-b610-e77400b2d5d3,7e6a63e1-f1cd-49ae-baec-30120b2877f1
PAK TANI,01.08.2025.666,SAPROTAN UTAMA NUSANTARA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Baru,2025-07-24,2030-07-24,0,070ba0dd-d9de-4587-b038-037bde44e584,0cf0a976-2d6c-476b-8ca0-f35b4ab71564
K-TOK,01.02.2023.2023,PRIMA AGRO LANCAR,,Cair (Liquid),Pendaftaran Ulang Ganjil,2023-08-30,2028-08-30,0,0728bcf8-4fa3-4d56-b86a-53acd287c092,385d324c-65bf-46c6-a4ed-28c72dcefa65
HUMATOP,04.03.2022.911,PRIMA AGRO TECH,Organik,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-09-06,2027-09-06,0,0732aed3-27a2-498e-90f0-be4332e3b12d,1497478e-87df-4363-8da9-1acf60d7f56f
VALARA ,02.02.2025.505,ASTINA MEGAH ABADI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-10-13,2030-10-13,0,0734179b-737a-4dc5-95b0-77ce70f31e66,7f849fe0-fa15-4281-82ea-d36504fae68e
EP-M5,03.02.2023.557,BIO ENERGI RIMBA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-03-15,2028-03-15,0,074b269e-917b-496b-a6d0-d542e1d6b361,b652f083-084e-4cac-8a24-f4a96cc26cfc
ANAYA,01.03.2025.806,ANAYA GLOBAL INDONESIA,Pupuk Kalium Klorida (KCl),Tepung (Powder),Pendaftaran Baru,2025-08-13,2030-08-13,0,074d79c2-bd8b-4b9c-a131-e077c0869b75,727603b0-fe76-42eb-b82d-6035c90398fb
KLOTRAN'S MAHKOTA,01.08.2021.661,CV. SUMBER MULYO SEJAHTERA,,Bentuk Lainnya,Pendaftaran Baru,2021-04-30,2026-04-30,0,0759ecee-7186-4a72-a79a-3d0ce49cab0f,769baafc-086f-4b42-b9c5-40380b600649
GOAUTAMA,01.03.2026.200,GOAUTAMA SINARBATUAH,Pupuk Diamonium Fosfat (DAP) {(NH4)2HPO4},Tepung (Powder),Pendaftaran Baru,2026-03-10,2031-03-10,0,075face9-8c6d-4885-84ec-684180f9f040,19d60b65-5cfb-4811-a248-bb5e956044b0
Agrimas,04.03.2026.286,PT Agrimas Utama Indonesia,Dolomit,Tepung (Powder),Pendaftaran Baru,2026-05-22,2031-05-22,0,0774167d-2942-4768-b9de-e815d315cecf,a95138b0-9734-428d-8449-f2c31e6b1ce0
SinGrow,02.02.2025.473,SINAR ADHIKARI ARYASATYA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-09-12,2030-09-12,0,07815305-3546-440f-8128-5c7532756c55,bbf278fc-f2f4-4227-855f-f339fb1833e1
nutrizim,02.02.2022.746,CV. Bima Agung Sejahtera,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Genap,2022-07-27,2027-07-27,0,07934015-24a4-4985-b266-f113658fb662,d9f6effe-20d5-45d1-8081-40e2064c3d05
PATENCA,04.03.2024.430,TANI MAS SUBUR,Kaptan,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-03-22,2029-03-22,0,0794af17-224d-4fc0-bf40-74129b264c56,0bfd58e9-0daa-4d2b-9c86-6e95428860bd
GREENWORLD,03.02.2024.1,UTOMO UTOMO,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2023-12-08,2028-12-08,0,07996c1e-1678-4ad8-803a-9e239e3c965f,6fd49b28-85c0-4d88-90d7-72c02ccad6c9
BUMI IJO,01.08.2024.808,LAUTAN LUAS,,Bentuk Lainnya,Pendaftaran Baru,2024-06-27,2029-06-27,0,0799ea87-ded2-4ae4-a005-31d25412d192,1073470f-19eb-4588-b1d1-ca8d37f5542d
MerokeMKP,01.03.2023.2300,MEROKE TETAP JAYA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-09-27,2028-09-27,5,079d79d5-b4af-42a6-8624-a0b383b479d9,a5a2f54e-db06-45ca-acd3-bf7db4701956
BIOTOP,03.02.2023.399,ANKEWA CHEMICAL INDONESIA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-01-21,2028-01-21,0,07bc3885-8de0-418e-8aa4-293329b58631,0884c29e-60df-4baa-b71a-26e619e55366
EXCLUSIVE NITROMIX,01.02.2024.958,FARMINDO ANN CHEMICAL,,Cair (Liquid),Pendaftaran Baru,2024-08-08,2029-08-08,0,07d695d7-bb51-4b42-86e9-e1a5ebcc40f8,25b7c409-3476-48be-82f2-26383ef4c51d
PALMERA,01.03.2026.340,CARLINDO SERASI ABADI,Pupuk Hara Makro Tunggal,Tepung (Powder),Pendaftaran Baru,2026-04-28,2031-04-28,0,07e98f3f-d1d9-4f0b-a33d-40fa4952f719,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
Mahkota Fertilizer,01.01.2022.1395,WILMAR CHEMICAL INDONESIA,,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-22,2027-09-22,0,07eafcf2-a057-472a-97ff-1b359445c255,1511917e-254d-426d-a2db-e9a2e78efbb2
BIOST,02.03.2025.334,SITOSU AGRO CEMERLANG,Pupuk Organik,Tepung (Powder),Pendaftaran Ulang Ganjil,2025-07-24,2030-07-24,0,07f1bdae-da86-4f7d-9db0-c93facda051c,06dfb9e7-12f0-4408-9bbe-3df3bed13e0b
MANISE,01.01.2024.1068,SANTANI AGRO LESTARI,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2024-08-25,2029-08-25,0,07f3e5a4-1d51-4029-a220-d602e1caad3c,0cffd1ce-eed4-4401-9f60-598310da10f3
gfert,01.03.2023.591,PT. Gemilang Eka Dharma,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-01-16,2028-01-16,0,07f605c3-3b1e-4ce4-a22b-3043b5e98113,1fd3f6c3-e418-4bc1-8aa4-71d77c90198c
BERLIAN PHOSKA BSP 36,04.01.2025.140,BERKAH ALAM NUSANTARA FERTILIZER,Dolomit,Butiran (Granular),Pendaftaran Baru,2025-03-10,2030-03-10,0,07fcde6c-b169-4a5b-875c-3a284467ef53,15407c3c-4456-416b-a9d8-427506cd6f25
VIGROW,01.02.2025.867,DYRIZ INDONESIA,Pupuk Hara Mikro Majemuk,Cair (Liquid),Pendaftaran Ulang Genap,2025-09-25,2030-09-25,0,0805ee2c-d84b-4201-9808-d7c5516456de,9d4b763a-1116-4226-8f32-a3a738d146da
GEURUTEE,01.01.2024.13,JANTHO MAJU TANI,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2023-12-28,2028-12-28,0,081703b4-51e2-484d-aaa2-bf4890ddf007,cef5edba-c424-4e27-a384-c7a0cfaa299a
GREENSUPE,01.03.2021.611,DITYA CHEMINDO,,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-04-07,2026-04-07,1,081cc38b-4b7d-45b8-a8a1-02a7d73fd57e,f7090f1a-ddb7-4167-99ba-bdd0c02d5985
BLESS,02.03.2026.138,ANUGERAH MUSTIKA OSTINDO,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2026-03-05,2031-03-05,0,082462c1-3e23-4150-863e-8ddaf555ab2e,8ec3b878-9b6f-44e9-8cc1-c24ab17ed56c
TM Agricultural,02.02.2026.90,TIGA MUARA EMAS MAKMUR,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-12-22,2030-12-22,0,082a762d-db91-478b-8447-b7c7aac4afa3,bf26d82e-65e0-4cae-834e-18f79b664637
CUAN,01.02.2023.1458,SANTANI SEJAHTERA,,Cair (Liquid),Pendaftaran Ulang Ganjil,2023-06-14,2028-06-14,0,082c4899-f9c2-4579-9b50-83ad8509b4a8,32a43c35-1ca5-4049-9b9a-d322ab71b496
SPRNASA,02.08.2024.235,NATURAL NUSANTARA,Pupuk Organik,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2024-05-20,2029-05-20,0,083e4e17-6b0e-4fbf-81b4-856efa609d20,09436efe-a2a3-4648-a9f6-7fc400a8bf5c
FT,01.01.2025.119,PT. Asia Pupuk Guna Lestari,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2025-02-03,2030-02-03,0,0866d358-c9b8-4298-8644-9fc48f806822,37c98db4-a78c-45e7-9bc0-8099103a695f
Agroblen,01.01.2021.501,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-01-18,2026-01-18,0,086c4da0-7625-41b5-85ba-1438cd9517e8,83c743cb-4ec1-4b82-ae85-3a1f26750e30
NovaCuZinc,01.01.2023.2297,NOVACHEM ADAMANTINA,,Butiran (Granular),Pendaftaran Baru,2023-11-08,2028-11-08,1,087dbd04-6248-4135-babc-7a38cc6262c8,4b3d7796-29c4-4b27-a663-265d244f05ac
SanMoPhos,01.01.2026.24,AGRI TANIMAS SELARAS,,Butiran (Granular),Pendaftaran Baru,2025-12-30,2030-12-30,0,08937df4-af85-415a-b071-34e5c028a81c,e031df17-742c-4663-be7f-8fb34a6b30ea
NutriTop,01.01.2021.826,ADIDAYA NIRBATAS,Pupuk Kalsium Nitrat {CaNO3)2.2H2O},Butiran (Granular),Pendaftaran Baru,2021-08-18,2026-08-18,0,089b633b-8645-41f6-ae34-196064e58b9b,a4bea23e-efbe-41ce-86f3-90d56a498a2c
MICROBLOOM,01.03.2024.1187,PRIMA AGRO TECH,,Tepung (Powder),Pendaftaran Baru,2024-09-04,2029-09-04,0,08a5b357-3a53-4a3f-8194-b809c4357426,1497478e-87df-4363-8da9-1acf60d7f56f
CAP DAUN,,AGRO TRADISI,,Tepung (Powder),Pendaftaran Baru,2023-01-11,2028-01-11,0,08b1c4ff-ec41-4650-9943-d5787a4be687,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
AzosPlant,03.02.2021.536,INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2021-09-21,2026-09-21,0,08b3393a-1393-43a2-b562-c70d26727135,59ab7e41-7ae3-4df8-a7f0-4cb8ae8401b8
