merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
BINTANG NUTRISI BIOS,,CV. Bintang Asri Arthauly,dekomposer,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
MERAH PUTIH,01.01.2019.392,PT. Cipta Makmur Pertiwi,NPK Padat (SNI),Butiran,Merah; Biru,An-organik - Pendaftaran Baru (2018),2019,2024,3f95834b-f146-496b-b46a-f6bf85ce6e69
JADI MAS,,PT JADI MAS,an-organik,Tepung,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3955
JADI MAS,,PT JADI MAS,an-organik,Tepung,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3955
WINSOIL,,PT. DWIAGRI MAKMUR INTERTRADE,an-organik,Cair,Coklat kehitaman,An-organik - Pendaftaran Ulang Ganjil,2018,2023,43c8b8e0-a204-40f3-85c0-63a29552d28a
SEMESTA,01.01.2018.332,PT. SEMESTA JAYA ABADI,an-organik,Butiran,Putih,An-organik - Pendaftaran Baru,2018,2023,370a20b1-9b92-4ff8-8c12-2d5c2e806f4d
GARDENA C,01.02.2018.420,PT.TANINDO INTERTRACO,an-organik,Cair,Hijau,An-organik - Pendaftaran Ulang Genap,2018,2023,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
FARMPION,01.03.2019.080,CV IMEXINDO NUSANTARA,an-organik,Tepung,Merah,An-organik - Pendaftaran Baru,2018,2023,1cfcc010-05de-49a2-9b9f-e6b1c53aa2f2
ECO FRESH,,PT. ECO AGRO MANDIRI,organik,Cair,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,50f674f7-648f-4654-afbc-f6572bed957b
GARDENA B,01.03.2019.074,PT.TANINDO INTERTRACO,an-organik,Tepung,Merah muda,An-organik - Pendaftaran Ulang Genap,2018,2023,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
Mahkota,01.01.2018.392,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Kecoklatan ,An-organik - Pendaftaran Baru,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MIKROMATE Cu  ,,PT. HANAMPI SEJAHTERA KAHURIPAN,an-organik,Butiran,Biru,An-organik - Pendaftaran Ulang Ganjil,2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
PremioBlend,02.03.2018.141,CV. Sumber Buana Perkasa,organik,Tepung,Coklat Kehitaman ,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,4614c03f-205a-4063-ae35-93648d549f07
PELANGI,01.01.2018.350,PT Pupuk Kalimantan Timur,an-organik,Butiran,"Cokelat, Putih, Merah, Abu-abu, Hijau dan Hitam",An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
futura,02.03.2019.054,PT Bursatani Global Niaga,organik,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,e78daef8-a329-468b-bfb6-84597af62784
PELANGI,01.01.2019.025,PT Pupuk Kalimantan Timur,an-organik,Butiran,Warna-warni,An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
GREENWORLD,,PT. UTOMO UTOMO,hayati,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3828
PHOSKA RAJA,01.01.2018.415,CV. Subur Makmur Sejahtera,an-organik,Butiran,Merah,An-organik - Pendaftaran Baru,2018,2023,29f0ca70-f67e-48f6-a403-7bad30445232
ANN REVOCAL,04.03.2019.030,CV. Nusa Nur Agro,Pembenah Tanah Kapur Pertanian,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,d62bc1906cf27adf879f2983115b782c2679
FOLIFLO KUALITAS,01.02.2019.109,PT. Hextar Fertilizer Indonesia,an-organik,Cair,Krem,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
BUMI IJO ,,PT Lautan Luas Tbk,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,9ab86cc7-3fbb-467c-9603-dd72eeeab797
HARACOAT,,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Ungu, Hijau, Biru, Coklat, Merah, Hitam, Putih",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
WINNER SP,03.03.2018.177,CV. Nusa Nur Agro,hayati,Tepung,Coklat Kehitaman & Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,d62bc1906cf27adf879f2983115b782c2679
GROPRINT,01.01.2019.030,UD. PRIMAGRO,an-organik,Butiran,Merah,An-organik - Pendaftaran Baru,2018,2023,baac0661-9be3-424a-bc02-ddb660bcb827
ERTAN,01.01.2018.334,UD. PRIMAGRO,an-organik,Butiran,Hijau,An-organik - Pendaftaran Baru,2018,2023,baac0661-9be3-424a-bc02-ddb660bcb827
DEWI,04.03.2018.172,CV. Dewi,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,916f2010-6344-4b86-84cb-f284f5d93372
AMINOTRI,02.02.2019.007,PT. Maju Makmur Utomo,organik,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
LOONGZOU,01.03.2019.088,PT. Sasco Indonesia,an-organik,Tepung,coklat muda,An-organik - Pendaftaran Baru,2018,2023,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
FOLIMAC D,01.08.2019.198,PT. Hextar Fertilizer Indonesia,an-organik,Kristal,Putih,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
LOONGZOU,01.01.2019.228,PT. Sasco Indonesia,an-organik,Butiran,"kuning, coklat",An-organik - Pendaftaran Baru,2018,2023,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
LOONGZOU,01.03.2019.097,PT. Sasco Indonesia,an-organik,Tepung,coklat muda,An-organik - Pendaftaran Baru,2018,2023,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
PELANGI,01.01.2018.286,PT Pupuk Kalimantan Timur,an-organik,Butiran,"Cokelat, Putih, Merah, Abu-abu, Hijau dan Hitam",An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
Valdi's GROW,03.03.2018.186,PT Prosper Biotech Indonesia,hayati,Tepung,Abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,91170b63-3660-4045-943c-366d929b3462
CENDRAWASIH,04.03.2018.161,PT. Cipta Makmur Pertiwi,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,3f95834b-f146-496b-b46a-f6bf85ce6e69
BAHARI,,CV. Jaya Tani,Fosfat Alam untuk Pertanian (SNI),Butiran,"Merah, Abu-Abu, Coklat",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,032ec707fb856da16d592b81bfb82c3b8011
d'DIANA,01.03.2020.088,CV.MITRA TANI ABADI JAYA,an-organik,Tepung,putih,An-organik - Pendaftaran Baru,2018,2023,5a16eeab-a266-47a6-9db2-60b6bbad7a23
RHIZAgold Plus,03.01.2019.050,PT. Biotrack Technology Indonesia,hayati,Butiran,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8d35d7dd-a472-4c31-b9e7-0e44a9fe0ffe
GOLDENSTAR,01.03.2019.091,CV. Bulaksari Farm,an-organik,Tepung,Hijau dan Biru,An-organik - Pendaftaran Baru,2018,2023,6beace9c-daec-458e-9b29-daddb4793d3e
JSB,01.08.2018.377,CV JAYA SRI BERSAMA,an-organik,Padat Kristal,Merah,An-organik - Pendaftaran Ulang Genap,2018,2023,ff31b9bddd061e00851c3eeb82fccb861602
Sun Bear,01.01.2018.123,PT PRIMA AGRO MANDIRI,an-organik,Butiran,Coklat,An-organik - Pendaftaran Baru,2018,2023,5ac6b9b5-911f-40d9-869c-3f928ce1b1ff
ENKU,01.01.2019.017,PT. Bumi Subur Sentosa,an-organik,Butiran,Putih,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d4723
FORMITRA,01.01.2019.212,PT. Formitra Multi Prakarsa,an-organik,Butiran,Merah Bata,An-organik - Pendaftaran Baru,2018,2023,42288d58-ac7c-4cce-8a76-86664ebdf90c
STAR PHOS-B,,PT. Dharma Ayu Tani,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
GARUDA MERAH Plus,,PT. Cahaya Inti Tunggal,organik,Butiran,Hitam / Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,e81bb712-3825-4271-a9d1-dd12e08064c3
PROTONMAXX,,PT DOBEL F JAYA,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,fe83eab5-6e4e-434d-9e37-1d3679e03a0e
RG,02.02.2019.146,PT. Maju Makmur Utomo,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
Kaya Bio,03.01.2019.148,PT Petrokimia Kayaku,hayati,Butiran,Kuning,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,a873131e-7133-440c-ba2f-bc80eefd69fd
DINOSAURUS,03.02.2018.171,PT.PRAMUDITA DARYA PARMA,hayati,Cair,Coklat Pekat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,c231520a-3eda-4075-b04d-aebf0a7d3d3b
SEJAHTERA,01.03.2018.191,PT Gresik Cipta Sejahtera,an-organik,Tepung,Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,2d76f9c0-5abc-4dec-8238-cdc7598356d1
PBMfertilizer,02.01.2019.013,PT. POMAL BEKA MANDIRI,organik,Butiran,Cokelat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,c66d9869-5e82-4d21-9fd2-5cdb5e27b4f9
Mutiara SAWIT,01.01.2019.073,PT.MEROKE TETAP JAYA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
BIOFAST,02.02.2018.071,PT. WAHANA PUNDIKARSA ABADI,organik,Cair,Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da378162
FORMITRA,01.01.2019.211,PT. Formitra Multi Prakarsa,an-organik,Butiran,Merah Bata,An-organik - Pendaftaran Baru,2018,2023,42288d58-ac7c-4cce-8a76-86664ebdf90c
FORMITRA,01.01.209.353,PT. Formitra Multi Prakarsa,an-organik,Butiran,Merah Bata,An-organik - Pendaftaran Baru,2018,2023,42288d58-ac7c-4cce-8a76-86664ebdf90c
PHONSKA,,PT Petrokimia Gresik,an-organik,Butiran,Merah muda,An-organik - Pendaftaran Ulang Ganjil,2018,2023,8259c7aa7427a3aafbc56ffd00cff00e3021
DECKA,02.02.2018.107,CV. HERBASARI,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,27c7d7e9-6547-4db2-a2a8-51c0d34db5f6
Eco Land,02.01.2018.119,PT. ECO AGRO MANDIRI,organik,Butiran,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,50f674f7-648f-4654-afbc-f6572bed957b
DGW,01.05.2019.010,PT. Hextar Fertilizer Indonesia,an-organik,Prill,Putih,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
NUSAMAS,,PT Nusamas Kimia Persada,an-organik,Butiran,Abu-abu,An-organik - Pendaftaran Ulang Ganjil,2018,2023,9ce948e7-ae1f-4479-b0e0-96d25b0cbf1e
WOKOZIM,02.02.2019.177,PT Petrokimia Kayaku,organik,Cair,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a873131e-7133-440c-ba2f-bc80eefd69fd
HARA GARUDA,01.03.2020.094,CV.MITRA TANI ABADI JAYA,an-organik,Tepung,putih,An-organik - Pendaftaran Baru,2018,2023,5a16eeab-a266-47a6-9db2-60b6bbad7a23
HARA GARUDA,01.03.2020.094,CV.MITRA TANI ABADI JAYA,an-organik,Tepung,putih,An-organik - Pendaftaran Baru,2018,2023,5a16eeab-a266-47a6-9db2-60b6bbad7a23
GREENWORLD,,PT. UTOMO UTOMO,hayati,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3828
GREENWORLD,,PT. UTOMO UTOMO,hayati,Cair,Coklat ,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3828
BELKO,01.02.2019.013,PT BIOTIS AGRINDO,an-organik,Cair,Kekuningan,An-organik - Pendaftaran Baru,2018,2023,eb662a37-d9e8-413f-b507-8ab3b7cf9e16
SUGIH TANI,02.02.2018.108,PT. ECO AGRO MANDIRI,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,50f674f7-648f-4654-afbc-f6572bed957b
Mutiara SAWIT,01.01.2019.295,PT.MEROKE TETAP JAYA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara SAWIT,01.01.2019.118,PT.MEROKE TETAP JAYA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara SAWIT,01.01.2019.089,PT.MEROKE TETAP JAYA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
NUSAMAS,,PT Nusamas Kimia Persada,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,9ce948e7-ae1f-4479-b0e0-96d25b0cbf1e
CAP TAWON,01.03.2019.301,PT Kertopaten Kencana,an-organik,Tepung,Putih,An-organik - Pendaftaran Baru,2018,2023,0c496ac58b4898b510132b58728761674087
ANR-30 PLUS-TE,01.01.2019.205,PT. Agrofarm Nusa Raya,an-organik,Butiran,"Biru, Merah Bata",An-organik - Pendaftaran Baru,2018,2023,42aa8c88-cccb-41f4-8010-2dace3de5164
UNTA,,CV. BUMI INDO RAHARJA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,d7d213df-99de-4f96-a624-7bb42e9d56be
BIANGLALA,,CV. BUMI INDO RAHARJA,an-organik,Butiran,"Putih,Merah,Hitam, Coklat",An-organik - Pendaftaran Ulang Ganjil,2018,2023,d7d213df-99de-4f96-a624-7bb42e9d56be
WONDER NATURAL ENZYM,02.02.2020.036,PT.WONDERINDO PHARMATAMA,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,5c8e99a9-b1fb-4837-83c8-c96aa909e310
NUSAMAS,,PT Nusamas Kimia Persada,an-organik,Tepung,Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,9ce948e7-ae1f-4479-b0e0-96d25b0cbf1e
SUSENO WINARTO ALAMI,01.02.2019.027,PT. Tani Karya Makmur Sejahtera,an-organik,Cair,Biru,An-organik - Pendaftaran Baru,2018,2023,bbba56cc-d758-4bc5-9737-1302641d3ff6
GREENER,01.02.2019.331,PT. Tani Karya Makmur Sejahtera,an-organik,Cair,Hijau,An-organik - Pendaftaran Baru,2018,2023,bbba56cc-d758-4bc5-9737-1302641d3ff6
GOLDEN WHEEL 20,01.01.2019.194,PT. Makro Chemindo,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Genap,2018,2023,4eba0d16-0b53-4005-a167-e4d592e63860
MerokeVITAFLEX,01.03.2019.142,PT.MEROKE TETAP JAYA,an-organik,Tepung,Kuning,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Humagrow,02.02.2020.056,PT. MULTIKIMIA AGRO SEJAHTERA,organik,Cair,Putih dan Hijau,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,ccad9a76-cd57-4498-9d20-91b489aab6d1
 HUMATE,02.01.2020.062,PT. MULTIKIMIA AGRO SEJAHTERA,organik,Butiran,Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,ccad9a76-cd57-4498-9d20-91b489aab6d1
MAHKOTA FERTILIZER,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Coklat ,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
GOLDEN WHEEL 23,01.01.2019.046,PT. Makro Chemindo,an-organik,Butiran,Biru,An-organik - Pendaftaran Ulang Genap,2018,2023,4eba0d16-0b53-4005-a167-e4d592e63860
FERTILA,01.01.2019.045,CV. SAPROTAN UTAMA,an-organik,Butiran,putih,An-organik - Pendaftaran Baru,2018,2023,32a5fc08-615e-4849-9010-dfc08eaec4e8
SJ,02.01.2018.187,CV. Satria Jaya,organik,Butiran,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,fdb67ffb-cd21-4bef-82a9-26050f4154d5
HARACOAT,01.01.2019.309,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran," Ungu, Hijau, Biru,Coklat, Putih, Merah, Hitam",An-organik - Pendaftaran Baru (2018),2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
Mutiara GROWER,01.05.2019.164,PT.MEROKE TETAP JAYA,an-organik,Prill,Hijau,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara GROWER,01.05.2019.143,PT.MEROKE TETAP JAYA,an-organik,Prill,Hijau,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara,01.05.2018.414,PT.MEROKE TETAP JAYA,an-organik,Prill,Biru,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
DOREMI,01.01.2019.082,PT DIC Graphics,an-organik,Butiran,Putih,An-organik - Pendaftaran Baru,2018,2023,64fe783e-ed15-4474-a28c-c699714857ad
MOD,,CV. Tani Hijau LestariI,dekomposer,Cair,Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,a7a7c671-886d-4d3d-b7e2-67ac1958b1c7
BIO NK,02.02.2019.056,CV PALUGADA SUKSES BERSAMA,organik,Cair,Coklat kemerahan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,35ef8b98-2cf4-4d80-b897-2cf148fd0861
AGROS,02.01.2019.061,CV PALUGADA SUKSES BERSAMA,organik,Butiran,Hitam Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,35ef8b98-2cf4-4d80-b897-2cf148fd0861
PLANTAFOL,01.01.2019.043,PT. Winon International,an-organik,Butiran,Putih,An-organik - Pendaftaran Baru,2018,2023,6395efef-31f0-4019-acd2-84e790a7cd2a
SJ,02.03.2019.002,CV. Satria Jaya,organik,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,fdb67ffb-cd21-4bef-82a9-26050f4154d5
SATO-KALI OP+B,01.01.2019.219,PT. BEHN MEYER AGRICARE,an-organik,Butiran,Putih Campur Abu-abu,An-organik - Pendaftaran Ulang Genap,2018,2023,3d48529b-97aa-48d6-b6ad-cbfa089183bc
MerokeCALNITBoost,01.08.2019.187,PT.MEROKE TETAP JAYA,an-organik,Bulat Pipih,Kuning kehijauan,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
ACELE,02.02.2018.168,PT. AGRO TANI MAJU SEJAHTERA,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,4433aaf8-1dfd-4f58-8a79-1bfd7d5d1c0c
NutrimixGT,01.01.2019.165,PT. NUSA PALAPA GEMILANG,an-organik,Butiran,Hitam Keabu-abuan,An-organik - Pendaftaran Baru,2018,2023,48f248ee-8c81-4da1-868b-8351b17e06ef
SEMESTA ,01.08.2019.050,PT. SEMESTA JAYA ABADI,an-organik,Kristal,Putih,An-organik - Pendaftaran Baru,2018,2023,370a20b1-9b92-4ff8-8c12-2d5c2e806f4d
Injection,,PT.NOVELVAR,an-organik,Tepung,Kuning,An-organik - Pendaftaran Ulang Ganjil,2018,2023,432ba4ad-4d41-44b1-bea8-e42b248c1242
AGINTA,,PT. Agro Indah Permata,an-organik,Butiran,Merah bata,An-organik - Pendaftaran Ulang Ganjil,2018,2023,d128f89c-9240-4a9d-8c04-37e4c1cc8a63
CAP Anoa,02.01.2018.169,CV. Rahayu,organik,Butiran,Hitam ,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,7cc51233-527e-4b5d-8c81-0b42528e7cbe
Humagrow,,PT. MULTIKIMIA AGRO SEJAHTERA,an-organik,Butiran,Hitam,An-organik - Pendaftaran Ulang Ganjil,2018,2023,ccad9a76-cd57-4498-9d20-91b489aab6d1
MO PLUS,03.02.2020.006,CV. Organic Farming Indonesia,hayati,Cair,Kecoklat-coklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,c9a78802-70ad-4608-83b9-bed9c997aeb0
LAKABA,01.01.2019.312,PT. Laku Agung Bahagia Indonesia,an-organik,Butiran,Abu - abu Natural,An-organik - Pendaftaran Baru,2018,2023,187b184d-36a5-4740-a0d8-17c1f80168ad
LAKABA,01.01.2019.313,PT. Laku Agung Bahagia Indonesia,an-organik,Butiran,Abu - abu Natural,An-organik - Pendaftaran Baru,2018,2023,187b184d-36a5-4740-a0d8-17c1f80168ad
Mutiara PARTNER,01.05.2019.299,PT.MEROKE TETAP JAYA,an-organik,Prill,Hijau,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara GROWER,01.05.2019.119,PT.MEROKE TETAP JAYA,an-organik,Prill,Hijau,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
GREENWORLD,,PT. UTOMO UTOMO,hayati,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3828
LAKABA,01.01.2019.342,PT. Laku Agung Bahagia Indonesia,an-organik,Butiran,Abu - abu Natural,An-organik - Pendaftaran Baru,2018,2023,187b184d-36a5-4740-a0d8-17c1f80168ad
LAKABA,01.01.2019.343,PT. Laku Agung Bahagia Indonesia,an-organik,Butiran,Abu - abu Natural,An-organik - Pendaftaran Baru,2018,2023,187b184d-36a5-4740-a0d8-17c1f80168ad
BESGREEN,01.01.2019.166,PT. TIARA BUANA MANDIRI,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,36144a66-b620-4878-9b70-b492165f2ddf
JADI MAS,01.01.2019.101,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d3955
NUTRIVANT ,01.03.2019.098,PT. Agrotama Tunas Sarana,an-organik,Tepung,Putih,An-organik - Pendaftaran Baru,2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
Dinamik,01.02.2020.089,PT. Kamar Maeso Harapan,an-organik,Cair,Hijau,An-organik - Pendaftaran Baru,2018,2023,7649e2c0-8f30-40b9-bf77-3312bb796a8e
HUMISOL,02.03.2019.020,PT Exindo Raharja Pratama,organik,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,2004b629430939f680b316dd09563d4d1027
MULTIERA 15-15-6,01.01.2018.395,PT. SINAR  GENERAL INDUSTRIES,an-organik,Butiran,Marun,An-organik - Pendaftaran Baru,2018,2023,becab482-ea9d-4106-9b22-7f4eb146c57c
MULTIERA 13-6-27,01.01.2018.314,PT. SINAR  GENERAL INDUSTRIES,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,becab482-ea9d-4106-9b22-7f4eb146c57c
MULTIERA 14-14-21,01.01.2018.315,PT. SINAR  GENERAL INDUSTRIES,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,becab482-ea9d-4106-9b22-7f4eb146c57c
MULTIERA 20-10-20,01.01.2018.394,PT. SINAR  GENERAL INDUSTRIES,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,becab482-ea9d-4106-9b22-7f4eb146c57c
Protecals,01.03.2019.033,PT. SURYA CIPTA PERKASA YOGYAKARTA,an-organik,Tepung,Putih,An-organik - Pendaftaran Baru,2018,2023,ecce99c4-56dc-4395-a88a-418c6e77d1a0
NUTRIMAS,,PT NUTRIMAS AGRO INDONESIA,organik,Cair,Bening sampai kekuningan muda bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,c03a73f9-3986-48f6-9752-c55246fb9f3a
ZIRAEA,04.03.2018.094,CV Alam Hijau,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8c3a5caf-e323-4035-97c5-7ce3d4154c08
GLB,02.03.2019.008,PT Greenlife Bioscience,organik,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,2de0c443-bec5-4535-b71e-c2d933b778a7
MULTIERA 12-12-17,01.01.2018.393,PT. SINAR  GENERAL INDUSTRIES,an-organik,Butiran,biru,An-organik - Pendaftaran Baru,2018,2023,becab482-ea9d-4106-9b22-7f4eb146c57c
RACOON,,CV. SURYA TANI TIMUR SANTOSA,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,70a79262-a6cc-4057-8a83-a95b9f1f3de5
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Tepung,Hijau Kebiruan ,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
