pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
Pemerintah Kabupaten Donggala,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2022,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Boven Digoel,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2022,2022,Pendaftaran Varietas Tanaman
PT Advansia Benih Indonesia,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2020,2022,Pelepasan Varietas Tanaman
CV Putra Mandiri Blambangan,CV,2,1,Tanaman Buah,Tanaman Buah,2022,2022,Pelepasan Varietas Tanaman
Dinas Pertanian Prov Jawa Barat,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2020,2022,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Nganjuk,Pemerintah,2,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2016,2022,Pelepasan Varietas Tanaman
Pemerintah Kabupaten tanah datar dan BPSBTP,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2016,2022,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Blitar,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2015,2022,Pelepasan Varietas Tanaman
Badan Tenaga  Nuklir  Nasional ,Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2020,2021,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Belitung,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2020,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Manggarai Barat,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2010,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bombana,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2021,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Cirebon,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2021,2021,Pendaftaran Varietas Tanaman
CV Kayamon Jaya Indonesia,CV,2,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kerinci dan BATAN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Musi Rawas dan BATAN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
PT Titian Tani  Mandiri Sejahtera,PT,2,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
Pusat Aplikasi Isotop & BATAN,Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
UD Sri Rejeki,UD,2,1,Tanaman Sayuran,Tanaman Sayuran,2021,2021,Pelepasan Varietas Tanaman
Dinas Pertanian Perkebunan Pangan Dan Hortikultura Kabupaten Cianjur,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2009,2021,Pelepasan Varietas Tanaman
UD Dewi Asiyah,UD,2,1,Tanaman Sayuran,Tanaman Sayuran,2021,2021,Pelepasan Varietas Tanaman
Puslitbang Perhutani,Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2020,2020,Perlindungan Varietas Tanaman
"Dr. Budi Setiadi Daryono, M.Agr.Sc",perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2020,2020,Perlindungan Varietas Tanaman
Pusat Penelitian Konservasi Tumbuhan dan Kebun Raya Bogor,Lembaga riset,2,1,Tanaman Flori,Tanaman Flori,2017,2020,Pendaftaran Varietas Tanaman
Pemerintah Kota Pekanbaru,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumba Tengah,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Malaka,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Merauke,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2020,2020,Pendaftaran Varietas Tanaman
Perkumpulan Bangun Nusa Berkelanjutan,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2020,2020,Pelepasan Varietas Tanaman
Universitas Jenderal Soedirman dan Konsorsium Penelitian Padi Nasional,Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2017,2020,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Palma ,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2020,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kepulauan Sula,Pemerintah,2,2,Tanaman Perkebunan,Tanaman Perkebunan,2019,2020,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Aceh Tengah,Pemerintah,2,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2019,2020,Pelepasan Varietas Tanaman
M Agung Subroto,perorangan/lainnya,2,1,Tanaman Sayuran,Tanaman Sayuran,2020,2020,Pelepasan Varietas Tanaman
CV Agro Mustika,CV,2,1,Tanaman Sayuran,Tanaman Sayuran,2020,2020,Pelepasan Varietas Tanaman
Pusat Inovasi LIPI,Lembaga riset,2,1,Tanaman Buah,Tanaman Buah,2019,2019,Perlindungan Varietas Tanaman
"Fakultas Pertanian, Universitas Mataram",Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
"Prof.Dr.Ir.H.M. Nurdin Abdullah, M.Agr",perorangan/lainnya,2,1,Tanaman Sayuran,Tanaman Sayuran,2019,2019,Pendaftaran Varietas Tanaman
Dr. Sc. Agr. Agung Kurniawan,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Hulu Sungai Utara,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Boyolali,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2009,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bantaeng,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2010,2019,Pendaftaran Varietas Tanaman
Pemerintah Kota Tomohon,Pemerintah,2,1,Tanaman Flori,Tanaman Flori;Tanaman Perkebunan,2014,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tenggarong,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
PT Syngenta Indonesa,PT,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten Sleman, Dipertakan Kab. Sleman, BPTP Yogyakarta, UPTD BPSBP DIY",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Klaten dan PAIR - BATAN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Solok,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran,2017,2019,Pelepasan Varietas Tanaman
Dinas Pertanian Kab Bandung,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2017,2019,Pelepasan Varietas Tanaman
Dinas TPH dan Perkebunan Kab Pesisir Selatan,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran,2019,2019,Pelepasan Varietas Tanaman
Dinas Pertanian dan Perikanan Kab Majalengka,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,1993,2019,Pelepasan Varietas Tanaman
PT Gunung Kombeng Surabaya,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2019,2019,Pelepasan Varietas Tanaman
PPSHB-IPB,Perguruan tinggi,2,1,Tanaman Sayuran,Tanaman Sayuran,2014,2019,Pelepasan Varietas Tanaman
Pusat Aplikasi Isotop dan Radiasi BATAN,Lembaga riset,2,2,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2018,2019,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bangli,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2007,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banggai,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Purbalingga,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pidie Jaya,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pasaman,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Buru Selatan,Pemerintah,2,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Perkebunan,2013,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kaur,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2014,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bone,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2018,2018,Pendaftaran Varietas Tanaman
PT Panca Surya Garden,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pelepasan Varietas Tanaman
"Pusat Penelitian Perkebunan Gula Indonesia (P3GI) dan  UPT Pengujian & Pengawas Mutu Benih Tanaman Perkebunan, Dinas Perkebunan Provinsi Jawa Timur.",Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Magetan dan Balai Penelitian Tanaman Pemanis dan Serat,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pelepasan Varietas Tanaman
PT Tambi Wonosobo,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pelepasan Varietas Tanaman
Konsorsium Padi Nasional dan Balai Besar Penelitian Tanaman padi,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pelepasan Varietas Tanaman
PT Agro Lumintu Sejahtera dan Nuziveedu Seed,PT,2,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pelepasan Varietas Tanaman
Dinas Pertanian Provinsi Sumatera Utara,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran,2018,2018,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kapuas,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2017,2017,Pendaftaran Varietas Tanaman
IPB dan Konsorsium Penelitian Padi Nasional,Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2014,2017,Pelepasan Varietas Tanaman
PT Semangat Bersama Entreprenuership,PT,2,1,Tanaman Pangan,Tanaman Pangan,2017,2017,Pelepasan Varietas Tanaman
Badan Penelitian dan Pengembangan Pertanian dan Toyota Boshoku Corporation Japan,Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2017,Pelepasan Varietas Tanaman
P3GI,Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2017,Pelepasan Varietas Tanaman
CV Panca Tani Raya,CV,2,1,Tanaman Sayuran,Tanaman Sayuran,2013,2017,Pelepasan Varietas Tanaman
Dinas Pertanian Perikanan dan Peternakan Kabupaten,Pemerintah,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2016,2017,Pelepasan Varietas Tanaman
Dinas Pertanian Perkebunan dan Kehutanan Kabupaten,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2016,2017,Pelepasan Varietas Tanaman
PT TOYOTA BIO INDONESIA,PT,2,1,Tanaman Pangan,Tanaman Pangan,2016,2016,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten kepulauan Meranti, Prov. Riau",Pemerintah,2,2,Tanaman Perkebunan,Tanaman Perkebunan,2016,2016,Pelepasan Varietas Tanaman
"Balai Pengkajian Teknologi Pertanian (BPTP) Sumut, Diperta Prov. Sumut",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2016,2016,Pelepasan Varietas Tanaman
Pemerintah Kota Balikpapan,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2015,2016,Pelepasan Varietas Tanaman
Konsorsium Penelitian Padi Nasional dan BB Padi,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2015,2015,Pelepasan Varietas Tanaman
Loka Penelitian Penyakit Tungro dan Balai Besar Penelitian Tanaman Padi,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2015,2015,Pelepasan Varietas Tanaman
PT Gemilang Harapan Agro Lestari,PT,2,1,Tanaman Pangan,Tanaman Pangan,2015,2015,Pelepasan Varietas Tanaman
Pemerintah Provinsi Kalimantan Timur,Pemerintah,2,2,Tanaman Perkebunan,Tanaman Perkebunan,2015,2015,Pelepasan Varietas Tanaman
"Pusat Penelitian Perkebunan Gula Indonesia (P3GI) Pasuruan, PTPN X",Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2012,2015,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Pekalongan,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2014,2015,Pendaftaran Varietas Tanaman
"PT Shriram Seed Indonesia, Bioseed Holdings, Pte, Ltd",PT,2,1,Tanaman Pangan,Tanaman Pangan,2015,2015,Pelepasan Varietas Tanaman
BPSBTPH Jawa Barat,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,1999,2015,Pelepasan Varietas Tanaman
PT Kresna Citra Utama,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2015,2015,Pelepasan Varietas Tanaman
PT PG Rajawali II,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2015,2015,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Karo,Pemerintah,2,1,Tanaman Flori,Tanaman Flori,2015,2015,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Trenggalek / Dinas Pertanian Kehutanan dan,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2015,2015,Pelepasan Varietas Tanaman
Pusat Penelitian Tanaman Karet,Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2014,2014,Perlindungan Varietas Tanaman
"Konsorsium Padi Nasional dan BB Padi, Balitbangtan",Pemerintah,2,2,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
"Balitsereal, Badan Litbang Kementan dan PT Golden Indonesia Seed",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
"PAIR - BATAN, Balitkabi, dan Konsorsium Kedelai Nasional",Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
PT Agrosid Manunggal Setosa,PT,2,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
"Dole Food Company, Inc",perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2013,2013,Perlindungan Varietas Tanaman
Badan Pengkajian dan Penerapan Teknologi,Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
Konsosrsium BATAN& Balitkabi,Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
PT Damai Agromanna Lestari,PT,2,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
PT Limas Sejahtera Mandiri,PT,2,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten Solok, UPTD BPSB, BPTP Provinsi Sumbar",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
PT Bangun Deso Wico,PT,2,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
Pemerintah Kota Ambon,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2012,2012,Pendaftaran Varietas Tanaman
Kepala dinas kehutanan dan perkebunan kabupaten Bondowoso,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2012,2012,Pelepasan Varietas Tanaman
Kepala dinas kehutanan dan perkebunan kabupaten Probolinggo,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2012,2012,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten Pelalawan, Diperta TP kab. Pelalawan, BPTP dan BPSB Provinsi Riau",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
"IPB dan Pemerintah Kabupaten Barito Kuala, Kalsel",Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
"BATAN, U. Samratulangi, Dipertanak Prov. Sulawesi Utara",Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
PT Batara Seed,PT,2,1,Tanaman Buah,Tanaman Buah,2012,2012,Pelepasan Varietas Tanaman
Dinas Pertanian Peternakan dan Perikanan Pemerinta,Pemerintah,2,1,Tanaman Flori,Tanaman Flori,2012,2012,Pelepasan Varietas Tanaman
Dinas Pertanian dan Peternakan Kabupaten Batang,Pemerintah,2,1,Tanaman Flori,Tanaman Flori;Tanaman Buah,2009,2012,Pelepasan Varietas Tanaman
"UD Plasa Benih Indonesia, Kediri",UD,2,1,Tanaman Sayuran,Tanaman Sayuran,2012,2012,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah,2,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2011,2011,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lebong,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2011,2011,Pendaftaran Varietas Tanaman
PT Export leaf Indonesia,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2011,2011,Pelepasan Varietas Tanaman
PT Advanta Seeds Indonesia dan BB Padi,PT,2,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Serealia dan Pemerintah Provinsi Sulsel,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
Pemerintah Kota Batam,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Flori,2010,2010,Pendaftaran Varietas Tanaman
PT Asiana Bio Grow,PT,2,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
IPB dan Pemerintah Kabupaten Kapuas,Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
PT Perkebunan Nusantara X (PTPN X),PT,2,2,Tanaman Perkebunan,Tanaman Perkebunan,2007,2010,Pelepasan Varietas Tanaman
Balai Besar Penelitian Tanaman Padi dan IRRI,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
BB Padi dengan . Petrokimia,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
BB. Padi dan PT Metahelix Life Science,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
Provinsi Aceh bekerjasama Pusat Penelitian Kopi dan Kakao Indonesia,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2010,2010,Pelepasan Varietas Tanaman
Perum Perhutani ,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2009,2009,Perlindungan Varietas Tanaman
Prof. Achmad Baihaki,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pendaftaran Varietas Tanaman
UPTD BPSBTPH Jabar Diperta kab. Kuningan,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
"Devgen Seed Co., dan Industri dan PT SHS",perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
Pemerintah Provinsi Maluku Utara / Balittri,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2009,2009,Pelepasan Varietas Tanaman
Balittas Malang  & PT Sadhana Arief Nusa ,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2009,2009,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten Gunungkidul, Diperta TPH Kab. G.Kidul, BPTP Yogyakarta, BPSBTPH Yogyakarta, Fak. Pertanian dan Fak. Biologi UGM Yogya",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Kutai Kartanegara,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
Dinas Pertanian dan Ketahanan Pangan Provinsi NTT,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
DInas Pertanian Kabupaten Merangin,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
Pemerintah Provinsi Sulawesi Barat,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2008,Pendaftaran Varietas Tanaman
"Pemerintah Prov. Kalsel, BPSBTPH dan Dipertanak Kabupaten Barito Kuala",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2008,2008,Pelepasan Varietas Tanaman
"Pemerintah KabupatenPonorogo, Jatim",Pemerintah,2,2,Tanaman Pangan,Tanaman Pangan,2008,2008,Pelepasan Varietas Tanaman
PT Bandung Ekspres Lestari,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2008,2008,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Rempah dan Aneka Tanaman Industri ,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2008,Pelepasan Varietas Tanaman
Prang Besar Malaysia,perorangan/lainnya,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2008,Pelepasan Varietas Tanaman
PT PG Rajawali Nusantara I Cirebon,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2008,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bangkalan,Pemerintah,2,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2007,2007,Pendaftaran Varietas Tanaman
BPSB Jateng,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2006,2007,Pelepasan Varietas Tanaman
"Siwi Sumartini, Emy Sulistyowati, Hasnam, dan Hadi Sudarmo ",perorangan/lainnya,2,2,Tanaman Perkebunan,Tanaman Perkebunan,2007,2007,Pelepasan Varietas Tanaman
Edina Orchids & Farm,perorangan/lainnya,2,1,Tanaman Flori,Tanaman Flori,2007,2007,Pelepasan Varietas Tanaman
Pemerintah Kabupaten HSS & Dinas Pertanian Kalsel,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2006,2006,Pelepasan Varietas Tanaman
Balitkabi dan CIP-ESEAP,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2006,2006,Pelepasan Varietas Tanaman
Shriram Bioseed Gen. India Limited PT Mitra Kreasidharma,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2006,2006,Pelepasan Varietas Tanaman
PT Triusaha Sari  Tani,PT,2,1,Tanaman Pangan,Tanaman Pangan,2005,2006,Pelepasan Varietas Tanaman
TP. Makmur Sejahtera NTB,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2005,2006,Pelepasan Varietas Tanaman
"SL AGRITECH CROP, PHILIPIN",perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2006,2006,Pelepasan Varietas Tanaman
PT Supin Raya di Makassar,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2004,Pelepasan Varietas Tanaman
Balitas Malang / PT Philip Moris,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2004,Pelepasan Varietas Tanaman
MC I,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2004,2004,Pelepasan Varietas Tanaman
"Hasnam, Siwi Sumartini, Emy Sulistyowati, Abdul Rachman, Supriyono, Suhadi, FT Kadarwati, Prima D Riajaya, IGAA Indrayani, Cece Suhara ",perorangan/lainnya,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2003,2003,Pelepasan Varietas Tanaman
PT Bangun  Pusaka,PT,2,1,Tanaman Pangan,Tanaman Pangan,2002,2002,Pelepasan Varietas Tanaman
LEGOWO SUPER SINAR MENTARI NUSANTARA,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Tanaman
"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",perorangan/lainnya,2,2,Tanaman Perkebunan,Tanaman Perkebunan,1991,1991,Pelepasan Varietas Tanaman
PT Riset Perkebunan Nusantara,PT,2,1,Perkebunan,Perkebunan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Dinas Pertanian Kota Pagar Alam,Pemerintah,1,1,,,2026,2026,Pendaftaran Varietas Lokal
CV. Citra Mandiri Utama,CV,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PEMERINTAH DAERAH KABUPATEN PROBOLINGGO,Pemerintah,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
TIGA PERMATA AGRI LESTARI,perorangan/lainnya,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
DINAS PERTANIAN KABUPATEN ACEH TENGGARA,Pemerintah,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
CHANDRA ARIANDRI,perorangan/lainnya,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
AMANAH BENIH ABADI,perorangan/lainnya,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Instansi Pemerintah,Pemerintah,1,1,Perkebunan,Perkebunan,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabupaten Balangan,Pemerintah,1,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
Dinas Pertanian dan Pangan,Pemerintah,1,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabupaten Hulu Sungai Selatan,Pemerintah,1,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabuaten Bone,Pemerintah,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
ANUGRAH KORO ABADI,perorangan/lainnya,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Daerah Provinsi Jawa Barat,Pemerintah,1,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
PERSYARIKATAN MUHAMMADIYAH,perorangan/lainnya,1,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
