nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
KP 448,Hortikultura,Kacang panjang,BENIH CITRA ASIA,PT Benih Citra Asia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-442/PV.220/A.9/05/2026,2026-05-26
KE 434,Hortikultura,Mentimun,BENIH CITRA ASIA,PT Benih Citra Asia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-438/PV.220/A.9/05/2026,2026-05-26
KE 4404,Hortikultura,Mentimun,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-426/PV.220/A.9/05/2026,2026-05-26
KE 4404,Hortikultura,Mentimun,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912011112239900010009,2026-06-04
CK 52358,Hortikultura,Cabai merah,EAST WEST SEED INDONESIA,PT East West Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-430/PV.220/A.9/05/2026,2026-05-26
Gringsing Emprit Wanasri,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-414/PV.210/A.9/05/2026,2026-05-19
Apang,Hortikultura,Mangga,Pemerintah Daerah Kabuaten Bone,Pemerintah Daerah Kabuaten Bone,Lokal,2026,Pendaftaran Varietas Lokal,B-418/PV.210/A.9/05/2026,2026-05-20
Anugrah Getakoro,Hortikultura,Koro pedang,ANUGRAH KORO ABADI,ANUGRAH KORO ABADI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-406/PV.220/A.9/05/2026,2026-05-07
PA 1381,Hortikultura,Paria,JOGJA HORTI LESTARI,CV Jogja Horti Lestari,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-398/PV.220/A.9/05/2026,2026-05-05
PA 1381,Hortikultura,Paria,JOGJA HORTI LESTARI,CV Jogja Horti Lestari,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912040685079300040001,2026-05-22
Puspa Rindira,Hortikultura,Krisan/Seruni,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-394/PV.220/A.9/05/2026,2026-05-04
SWJ 21,Hortikultura,Bayam,UD INTAN SI,UD INTAN SI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-390/PV.220/A.9/05/2026,2026-05-04
SWJ 21,Hortikultura,Bayam,UD INTAN SI,UD INTAN SI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,080326000273800010003,2026-05-11
Rishaky,Hortikultura,Krisan/Seruni,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-374/PV.220/A.9/05/2026,2026-05-04
Farisha,Hortikultura,Krisan/Seruni,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-382/PV.220/A.9/05/2026,2026-05-04
PA 1392,Hortikultura,Paria,JOGJA HORTI LESTARI,CV Jogja Horti Lestari,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-402/PV.220/A.9/05/2026,2026-05-05
PA 1392,Hortikultura,Paria,JOGJA HORTI LESTARI,CV Jogja Horti Lestari,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912040685079300040002,2026-05-22
Turima 2,Hortikultura,Cabai merah,Pemerintah Daerah Kabupaten Magetan,Pemerintah Daerah Kabupaten Magetan,Lokal,2026,Pendaftaran Varietas Lokal,B-386/PV.210/A.9/05/2026,2026-05-04
Turima 1,Hortikultura,Cabai merah,Pemerintah Daerah Kabupaten Magetan,Pemerintah Daerah Kabupaten Magetan,Lokal,2026,Pendaftaran Varietas Lokal,B-370/PV.210/A.9/05/2026,2026-05-04
LE 88,Hortikultura,Slada,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-378/PV.220/A.9/05/2026,2026-05-04
LE 88,Hortikultura,Slada,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912011112239900010008,2026-05-08
TIBI001,Hortikultura,Mentimun,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-366/PV.220/A.9/04/2026,2026-04-30
TIBI001,Hortikultura,Mentimun,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,051121000365800040001,2026-05-11
KPBI004,Hortikultura,Kacang panjang,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-362/PV.220/A.9/04/2026,2026-04-30
KPBI004,Hortikultura,Kacang panjang,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,051121000365800020001,2026-05-18
DEV 1002,Hortikultura,Semangka ,JJM INDONESIA,PT JJM Indonesia,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-358/PV.210/A.9/04/2026,2026-04-27
DEV 1002,Hortikultura,Semangka ,JJM INDONESIA,PT JJM Indonesia,Introduksi,2026,Pendaftaran Varietas Hortikultura,812010082028900050009,2026-05-22
9244C,Tanaman Pangan,Jagung,BAYER INDONESIA,PT Bayer Indonesia,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-357/PV.210/A.9/04/2026,2026-04-27
9044C,Tanaman Pangan,Jagung,BAYER INDONESIA,PT Bayer Indonesia,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-356/PV.210/A.9/04/2026,2026-04-27
8131C,Tanaman Pangan,Jagung,BAYER INDONESIA,PT Bayer Indonesia,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-355/PV.210/A.9/04/2026,2026-04-27
SJA113,Hortikultura,Semangka ,SAMPOERNA JAYA AGRO,PT Sampoerna Jaya Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-346/PV.220/A.9/04/2026,2026-04-22
SJA113,Hortikultura,Semangka ,SAMPOERNA JAYA AGRO,PT Sampoerna Jaya Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,022000879124300030010,2026-05-04
Sanagri Horti,Hortikultura,Jeruk,Badan Perakitan dan Modernisasi Pertanian,Badan Perakitan dan Modernisasi Pertanian,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-342/PV.220/A.9/04/2026,2026-04-22
Sanagri Horti,Hortikultura,Jeruk,Badan Perakitan dan Modernisasi Pertanian,Badan Perakitan dan Modernisasi Pertanian,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,0008/Kpts/PV.240/D/05/2026,2026-05-06
SS 629,Hortikultura,Kubis,AGROSID MANUNGGAL SENTOSA,PT Agrosid Manunggal Sentosa,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-338/PV.210/A.9/04/2026,2026-04-21
SS 629,Hortikultura,Kubis,AGROSID MANUNGGAL SENTOSA,PT Agrosid Manunggal Sentosa,Introduksi,2026,Pendaftaran Varietas Hortikultura,812000694280100010008,2026-05-06
Tomabrin 025,Hortikultura,Tomat,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-337/PV.220/A.9/04/2026,2026-04-21
Potabrin Go2,Hortikultura,Kentang,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-333/PV.220/A.9/04/2026,2026-04-21
Potapink,Hortikultura,Kentang,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-329/PV.220/A.9/04/2026,2026-04-21
KPKLD041,Hortikultura,Kacang panjang,BENIH KELUD NUSANTARA,PT Benih Kelud Nusantara,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-354/PV.220/A.9/04/2026,2026-04-22
KPKLD041,Hortikultura,Kacang panjang,BENIH KELUD NUSANTARA,PT Benih Kelud Nusantara,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,123200053095700000002,2026-05-06
TNKLD031,Hortikultura,Mentimun,BENIH KELUD NUSANTARA,PT Benih Kelud Nusantara,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-350/PV.220/A.9/04/2026,2026-04-22
TNKLD031,Hortikultura,Mentimun,BENIH KELUD NUSANTARA,PT Benih Kelud Nusantara,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,123200053095700000001,2026-05-04
Liong,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN KUNINGAN,PEMERINTAH DAERAH KABUPATEN KUNINGAN,Lokal,2026,Pendaftaran Varietas Lokal,B-313/PV.210/A.9/04/2026,2026-04-20
Genjah Lilin,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN KUNINGAN,PEMERINTAH DAERAH KABUPATEN KUNINGAN,Lokal,2026,Pendaftaran Varietas Lokal,B-317/PV.210/A.9/04/2026,2026-04-20
HLB CR 33,Hortikultura,Cabai rawit,HALBANERO,CV Halbanero,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-325/PV.220/A.9/04/2026,2026-04-20
HLB CR 33,Hortikultura,Cabai rawit,HALBANERO,CV Halbanero,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,812011725033100040014,2026-04-30
KE ASA 2004,Hortikultura,Mentimun,ADITYA SENTANA AGRO,PT Aditya Sentana Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-321/PV.220/A.9/04/2026,2026-04-20
KE ASA 2004,Hortikultura,Mentimun,ADITYA SENTANA AGRO,PT Aditya Sentana Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,021301016139400010012,2026-05-18
BBM OY2501,Hortikultura,Oyong/Gambas,BENIH BINTANG MULIA,BENIH BINTANG MULIA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-309/PV.220/A.9/04/2026,2026-04-15
BBM OY2501,Hortikultura,Oyong/Gambas,BENIH BINTANG MULIA,BENIH BINTANG MULIA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,150822004066200020001,2026-04-23
Manusa,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-300/PV.210/A.9/04/2026,2026-04-14
SUMMER DRAGON 7,Hortikultura,Pak choi,BUANA INTI GANI,BUANA INTI GANI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-305/PV.210/A.9/04/2026,2026-04-14
SUMMER DRAGON 7,Hortikultura,Pak choi,BUANA INTI GANI,BUANA INTI GANI,Introduksi,2026,Pendaftaran Varietas Hortikultura,030924012336100030002,2026-05-22
Katra Aruna,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-292/PV.210/A.9/04/2026,2026-04-14
Longberry Lintong,Perkebunan,Kopi,Pemerintah Daerah Kabupaten Humbang Hasundutan,Pemerintah Daerah Kabupaten Humbang Hasundutan,Lokal,2026,Pendaftaran Varietas Lokal,B-284/PV.210/A.9/04/2026,2026-04-13
ENNO1442,Hortikultura,Mentimun,ENNO CORPORATION,CV Enno Corporation,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-256/PV.220/A.9/04/2026,2026-04-08
ENNO1442,Hortikultura,Mentimun,ENNO CORPORATION,CV Enno Corporation,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,280623004722400030002,2026-05-11
Sibrol Sembada,Hortikultura,Cabai rawit,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-251/PV.210/A.9/04/2026,2026-04-07
Rossa 45,Hortikultura,Kubis bunga,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-252/PV.210/A.9/04/2026,2026-04-07
Rossa 45,Hortikultura,Kubis bunga,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Introduksi,2026,Pendaftaran Varietas Hortikultura,060524004089600010003,2026-04-23
SHINTA 15,Hortikultura,Kangkung,USAHA DAGANG (UD),USAHA DAGANG (UD),Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-231/PV.220/A.9/04/2026,2026-04-06
SHINTA 15,Hortikultura,Kangkung,USAHA DAGANG (UD),USAHA DAGANG (UD),Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,080326000273800010002,2026-05-11
SWJ 15,Hortikultura,Bayam,USAHA DAGANG (UD),USAHA DAGANG (UD),Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-227/PV.220/A.9/04/2026,2026-04-06
MH 81,Tanaman Pangan,Jagung,SEMANGAT BERSAMA ENTREPRENEURSHIP,PT Semangat Bersama Entrepreneurship,Lokal,2026,Pendaftaran Varietas Hasil Pemuliaan,B-304/PV.220/A.9/04/2026,2026-04-14
MIGO SORA 02,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-239/PV.220/A.9/04/2026,2026-04-06
MIGO SORA 02,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,050525009299700000004,2026-05-12
MIGO SORA 01,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-235/PV.220/A.9/04/2026,2026-04-06
MIGO SORA 01,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,050525009299700000003,2026-05-12
Wangijambera,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-276/PV.210/A.9/04/2026,2026-04-13
Meta Arunika,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-280/PV.210/A.9/04/2026,2026-04-13
Juntai Pastika,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-268/PV.210/A.9/04/2026,2026-04-13
Patera Garib,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-272/PV.210/A.9/04/2026,2026-04-13
Ronsina,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-296/PV.210/A.9/04/2026,2026-04-14
Dolipink,Hortikultura,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-288/PV.210/A.9/04/2026,2026-04-13
Citra Manah,Sumber Daya Genetik,Hoya,PEMERINTAH DAERAH KABUPATEN SLEMAN,PEMERINTAH DAERAH KABUPATEN SLEMAN,Lokal,2026,Pendaftaran Varietas Lokal,B-264/PV.210/A.9/04/2026,2026-04-13
TE 474,Hortikultura,Terong,CV NUSA HEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-219/PV.220/A.9/04/2026,2026-04-06
TE 474,Hortikultura,Terong,CV NUSA HEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912011112239900010006,2026-04-23
TE 476,Hortikultura,Terong,CV NUSA HEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-215/PV.220/A.9/04/2026,2026-04-06
TE 476,Hortikultura,Terong,CV NUSA HEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912011112239900010007,2026-04-23
Lakatan Tabat Murakata,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Lokal,2026,Pendaftaran Varietas Lokal,B-206/PV.210/A.9/04/2026,2026-04-06
MIGO GMP 02,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-243/PV.220/A.9/04/2026,2026-04-06
MIGO GMP 02,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,050525009299700000002,2026-05-12
MIGO GMP 01,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-223/PV.220/A.9/04/2026,2026-04-06
MIGO GMP 01,Tanaman Pangan,Kedelai,KARYA UNGGULAN ANAKBANGSA,KARYA UNGGULAN ANAKBANGSA,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,050525009299700000001,2026-05-12
Jelita 45,Hortikultura,Kubis bunga,SYNGENTA INDONESIA,PT Syngenta Indonesia,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-211/PV.210/A.9/04/2026,2026-04-06
WP001,Hortikultura,Cabai merah,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-210/PV.220/A.9/04/2026,2026-04-06
WP001,Hortikultura,Cabai merah,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,060524004089600010004,2026-05-06
Tama500,Hortikultura,Alpukat ,Pemerintah Daerah Provinsi Jawa Barat,Pemerintah Daerah Provinsi Jawa Barat,Lokal,2026,Pendaftaran Varietas Lokal,B-260/PV.210/A.9/04/2026,2026-04-08
Mentari 1,Tanaman Pangan,Padi,PERSYARIKATAN MUHAMMADIYAH,PERSYARIKATAN MUHAMMADIYAH,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-202/PV.220/A.9/04/2026,2026-04-01
Nusa Amahitu,Perkebunan,Cengkeh,Dinas Pertanian provinsi Maluku,Dinas Pertanian provinsi Maluku,Lokal,2026,Pendaftaran Varietas Lokal,B-198/PV.210/A.9/04/2026,2026-04-01
Saurma,Hortikultura,Jengkol,Pemerintah Daerah Kabupaten Humbang Hasundutan,Pemerintah Daerah Kabupaten Humbang Hasundutan,Lokal,2026,Pendaftaran Varietas Lokal,B-247/PV.210/A.9/04/2026,2026-04-07
IPBSV KP05,Hortikultura,Koro pedang,PTB Vokasi IPB,PTB Vokasi IPB,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-194/PV.220/A.9/03/2026,2026-03-31
Sri Senthun,Tanaman Pangan,Padi,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-410/PV.210/A.9/05/2026,2026-05-18
BB 492,Hortikultura,Mentimun,MERDEKA SEED TERUS BERKARYA,CV Merdeka Seed Terus Berkarya,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-190/PV.220/A.9/03/2026,2026-03-25
ASAN A44,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-173/PV.220/A.9/03/2026,2026-03-11
ASAN A44,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,912020739054300020004,2026-04-13
HAGEN A22,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-169/PV.220/A.9/03/2026,2026-03-11
HAGEN A22,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,912020739054300020002,2026-04-13
Braba Dairi,Perkebunan,Kopi,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-181/PV.210/A.9/03/2026,2026-03-16
HAGEN A33,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-161/PV.220/A.9/03/2026,2026-03-09
HAGEN A33,Tanaman Pangan,Jagung,DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,Hasil Pemuliaan Dalam Negeri,2026,Pelepasan Varietas Tanaman Pangan,912020739054300020001,2026-04-13
Tabia Sala Oranye IPB,Hortikultura,Cabai Habanero,Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-157/PV.220/A.9/03/2026,2026-03-09
Tabia Sala Kuning IPB,Hortikultura,Cabai Habanero,Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-165/PV.220/A.9/03/2026,2026-03-09
SJA114,Hortikultura,Semangka ,SAMPOERNA JAYA AGRO,PT Sampoerna Jaya Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-152/PV.220/A.9/03/2026,2026-03-06
SJA114,Hortikultura,Semangka ,SAMPOERNA JAYA AGRO,PT Sampoerna Jaya Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,022000879124300030008,2026-04-09
Aura HDO 4705,Hortikultura,Melon,AURA SEED INDONESIA,CV Aura Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-144/PV.220/A.9/03/2026,2026-03-06
Aura HDO 4705,Hortikultura,Melon,AURA SEED INDONESIA,CV Aura Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912040373157300050002,2026-05-04
Dakanela,Hortikultura,Semangka ,Politeknik Negeri Lampung,Politeknik Negeri Lampung,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-148/PV.220/A.9/03/2026,2026-03-06
SEMENTEL,Hortikultura,Slada,BEJO BENIH INDONESIA,PT BEJO BENIH INDONESIA,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-182/PV.210/A.9/03/2026,2026-03-16
PLAZA F1,Hortikultura,Bawang daun,BEJO BENIH INDONESIA,PT BEJO BENIH INDONESIA,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-153/PV.210/A.9/03/2026,2026-03-06
Midori Suika,Hortikultura,Semangka ,Politeknik Negeri Lampung,Politeknik Negeri Lampung,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-140/PV.220/A.9/03/2026,2026-03-05
Aura HDP A3D,Hortikultura,Melon,AURA SEED INDONESIA,CV Aura Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-136/PV.220/A.9/03/2026,2026-03-05
Aura HDP A3D,Hortikultura,Melon,AURA SEED INDONESIA,CV Aura Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hortikultura,912040373157300050001,2026-05-04
Darmani,Perkebunan,Kopi,Dinas Perkebunan dan Peternakan Kabupaten Lampung Barat,Dinas Perkebunan dan Peternakan Kabupaten Lampung Barat,Lokal,2026,Pendaftaran Varietas Lokal,B-186/PV.210/A.9/03/2026,2026-03-16
Rope Dale,Perkebunan,Kopi,Dinas Perkebunan dan Peternakan Kabupaten Lampung Barat,Dinas Perkebunan dan Peternakan Kabupaten Lampung Barat,Lokal,2026,Pendaftaran Varietas Lokal,B-177/PV.210/A.9/03/2026,2026-03-16
JM 1045,Hortikultura,Jagung manis,EAST WEST SEED INDONESIA,PT East West Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-132/PV.220/A.9/02/2026,2026-02-28
Inpari 55 Sal Soge,Tanaman Pangan,Padi,Badan Perakitan dan Modernisasi Pertanian,Badan Perakitan dan Modernisasi Pertanian,Introduksi,2026,Pendaftaran Varietas Hasil Pemuliaan,B-128/PV.220/A.9/02/2026,2026-02-28
